year,age_19_or_younger,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_or_older,age_14_or_younger,age_50_or_older,age_unknown
1925,136021,569470,547792,404508,289745,119216,19338,,,
1930,112021,404508,578245,436334,279111,114131,16397,,,
1940,53080,448763,668323,502396,313190,114924,15191,,,
1947,61223,615658,826601,645329,398985,117806,11899,,,
1950,56365,624797,794241,496240,278781,81953,4524,49,311,606
1955,25219,469027,691349,372175,138158,33055,1706,8,134,3
1960,19739,447097,745253,300684,78104,14217,942,5,78,5
1965,17719,513645,854399,355269,72355,9828,480,7,18,2
1970,20177,513172,951246,358375,80581,9860,548,12,25,280
1975,15999,479041,1014624,320060,62663,8727,319,9,7,7
1980,14590,296854,810204,388935,59127,6911,258,14,1,10
1985,17877,247341,682885,381466,93501,8224,245,23,1,38
1990,17496,191859,550994,356026,92377,12587,224,18,0,22
1995,16112,193514,492714,371773,100053,12472,414,37,0,12
2000,19772,161361,470833,396901,126409,14848,402,43,6,21
2005,16573,128135,339328,404700,153440,19750,598,42,34,6
2010,13546,110956,306910,384386,220101,34609,792,51,19,5
2012,12771,95805,292464,367715,225480,42031,960,59,32,6
2013,12964,91251,282794,365404,229741,46546,1116,51,47,1
2014,13013,86600,267866,359348,225899,49610,1272,43,58,1
2015,11930,84465,262266,364887,228302,52561,1308,39,52,2
2016,11099,82194,250715,355018,223329,53484,1401,46,51,2
2017,9900,79272,240959,345441,216954,52108,1512,37,62,0
2018,8778,77023,233754,334906,211021,51258,1659,37,68,1
2019,7782,72092,220933,312582,201010,49191,1649,40,56,0
2020,6948,66751,217804,303436,196321,47899,1676,37,52,0
