year,age_14_or_younger,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_or_older,age_unknown
1950,49,56316,624797,794241,496240,278781,81953,4213,311,606
1955,8,25211,469027,691349,372175,138158,33055,1572,134,3
1960,5,19734,447097,745253,300684,78104,14217,864,78,5
1965,7,17712,513645,854399,355269,72355,9828,462,18,2
1970,12,20165,513172,951246,358375,80581,9860,523,25,280
1975,9,15990,479041,1014624,320060,62663,8727,312,7,7
1980,14,14576,296854,810204,388935,59127,6911,257,1,10
1985,23,17854,247341,682885,381466,93501,8224,244,1,38
1990,18,17478,191859,550994,356026,92377,12587,224,,22
1995,37,16075,193514,492714,371773,100053,12472,414,,12
2000,43,19729,161361,470833,396901,126409,14848,396,6,21
2005,42,16531,128135,339328,404700,153440,19750,564,34,6
2010,51,13495,110956,306910,384386,220101,34609,773,19,5
2012,59,12712,95805,292464,367715,225480,42031,928,32,6
2013,51,12913,91251,282794,365404,229741,46546,1069,47,1
2014,43,12970,86600,267866,359348,225899,49610,1214,58,1
2015,39,11891,84465,262266,364887,228302,52561,1256,52,2
2016,46,11053,82194,250715,355018,223329,53484,1350,51,2
2017,37,9863,79272,240959,345441,216954,52108,1450,62,
2018,37,8741,77023,233754,334906,211021,51258,1591,68,1
2019,40,7742,72092,220933,312582,201010,49191,1593,56,
2020,37,6911,66751,217804,303436,196321,47899,1624,52,
