GA_total,GA_weeks,GA_days,L,M,S,p3,p10,p50,p90,p97
154,22,0,2.1,19.468,0.055,17.3,18,19.5,20.8,21.4
155,22,1,2.103,19.565,0.056,17.4,18.1,19.6,20.9,21.5
156,22,2,2.11,19.757,0.056,17.5,18.3,19.8,21.1,21.7
157,22,3,2.113,19.854,0.056,17.6,18.4,19.9,21.2,21.8
158,22,4,2.12,20.046,0.056,17.8,18.5,20,21.4,22.1
159,22,5,2.124,20.142,0.056,17.9,18.6,20.1,21.5,22.2
160,22,6,2.131,20.334,0.057,18,18.8,20.3,21.8,22.4
161,23,0,2.135,20.43,0.057,18.1,18.9,20.4,21.9,22.5
162,23,1,2.138,20.526,0.057,18.2,19,20.5,22,22.6
163,23,2,2.146,20.717,0.057,18.3,19.1,20.7,22.2,22.8
164,23,3,2.15,20.812,0.057,18.4,19.2,20.8,22.3,22.9
165,23,4,2.158,21.002,0.058,18.6,19.4,21,22.5,23.2
166,23,5,2.162,21.097,0.058,18.6,19.5,21.1,22.6,23.3
167,23,6,2.17,21.286,0.058,18.8,19.6,21.3,22.8,23.5
168,24,0,2.174,21.381,0.058,18.9,19.7,21.4,22.9,23.6
169,24,1,2.178,21.475,0.058,18.9,19.8,21.5,23,23.7
170,24,2,2.187,21.665,0.059,19.1,20,21.7,23.2,23.9
171,24,3,2.191,21.759,0.059,19.2,20,21.8,23.3,24
172,24,4,2.2,21.95,0.059,19.3,20.2,21.9,23.5,24.2
173,24,5,2.205,22.046,0.059,19.4,20.3,22,23.7,24.4
174,24,6,2.213,22.238,0.06,19.5,20.5,22.2,23.9,24.6
175,25,0,2.218,22.335,0.06,19.6,20.5,22.3,24,24.7
176,25,1,2.222,22.432,0.06,19.7,20.6,22.4,24.1,24.8
177,25,2,2.23,22.628,0.06,19.9,20.8,22.6,24.3,25
178,25,3,2.235,22.727,0.06,19.9,20.9,22.7,24.4,25.2
179,25,4,2.243,22.925,0.061,20.1,21,22.9,24.6,25.4
180,25,5,2.247,23.025,0.061,20.2,21.1,23,24.7,25.5
181,25,6,2.254,23.225,0.061,20.3,21.3,23.2,25,25.7
182,26,0,2.258,23.326,0.061,20.4,21.4,23.3,25.1,25.8
183,26,1,2.262,23.427,0.062,20.5,21.5,23.4,25.2,26
184,26,2,2.268,23.629,0.062,20.6,21.7,23.6,25.4,26.2
185,26,3,2.271,23.73,0.062,20.7,21.7,23.7,25.5,26.3
186,26,4,2.277,23.933,0.062,20.9,21.9,23.9,25.8,26.5
187,26,5,2.28,24.035,0.062,21,22,24,25.9,26.7
188,26,6,2.286,24.239,0.063,21.1,22.2,24.2,26.1,26.9
189,27,0,2.288,24.341,0.063,21.2,22.3,24.3,26.2,27
190,27,1,2.291,24.444,0.063,21.3,22.4,24.4,26.3,27.1
191,27,2,2.295,24.649,0.063,21.5,22.5,24.6,26.5,27.4
192,27,3,2.297,24.752,0.063,21.5,22.6,24.8,26.7,27.5
193,27,4,2.301,24.959,0.063,21.7,22.8,25,26.9,27.7
194,27,5,2.303,25.062,0.063,21.8,22.9,25.1,27,27.8
195,27,6,2.307,25.268,0.064,22,23.1,25.3,27.2,28.1
196,28,0,2.308,25.372,0.064,22.1,23.2,25.4,27.3,28.2
197,28,1,2.31,25.475,0.064,22.1,23.3,25.5,27.5,28.3
198,28,2,2.312,25.68,0.064,22.3,23.5,25.7,27.7,28.5
199,28,3,2.314,25.782,0.064,22.4,23.5,25.8,27.8,28.7
200,28,4,2.316,25.985,0.064,22.6,23.7,26,28,28.9
201,28,5,2.318,26.086,0.064,22.7,23.8,26.1,28.1,29
202,28,6,2.321,26.286,0.064,22.8,24,26.3,28.3,29.2
203,29,0,2.322,26.386,0.064,22.9,24.1,26.4,28.4,29.3
204,29,1,2.324,26.484,0.064,23,24.2,26.5,28.5,29.4
205,29,2,2.327,26.68,0.064,23.2,24.4,26.7,28.8,29.7
206,29,3,2.328,26.777,0.064,23.3,24.5,26.8,28.9,29.8
207,29,4,2.331,26.969,0.064,23.4,24.6,27,29.1,30
208,29,5,2.332,27.064,0.064,23.5,24.7,27.1,29.2,30.1
209,29,6,2.334,27.253,0.063,23.7,24.9,27.3,29.4,30.3
210,30,0,2.335,27.347,0.063,23.8,25,27.3,29.5,30.4
211,30,1,2.335,27.44,0.063,23.9,25.1,27.4,29.6,30.5
212,30,2,2.336,27.626,0.063,24,25.3,27.6,29.7,30.7
213,30,3,2.336,27.718,0.063,24.1,25.4,27.7,29.8,30.8
214,30,4,2.335,27.901,0.063,24.3,25.5,27.9,30,31
215,30,5,2.334,27.993,0.062,24.4,25.6,28,30.1,31.1
216,30,6,2.332,28.175,0.062,24.6,25.8,28.2,30.3,31.2
217,31,0,2.331,28.265,0.062,24.7,25.9,28.3,30.4,31.3
218,31,1,2.329,28.356,0.062,24.8,26,28.4,30.5,31.4
219,31,2,2.326,28.536,0.061,24.9,26.2,28.5,30.7,31.6
220,31,3,2.324,28.626,0.061,25,26.3,28.6,30.8,31.7
221,31,4,2.319,28.804,0.061,25.2,26.4,28.8,30.9,31.9
222,31,5,2.317,28.892,0.06,25.3,26.5,28.9,31,32
223,31,6,2.312,29.068,0.06,25.5,26.7,29.1,31.2,32.1
224,32,0,2.309,29.155,0.06,25.6,26.8,29.2,31.3,32.2
225,32,1,2.306,29.242,0.059,25.7,26.9,29.2,31.4,32.3
226,32,2,2.299,29.414,0.059,25.9,27.1,29.4,31.5,32.5
227,32,3,2.295,29.5,0.059,26,27.2,29.5,31.6,32.5
228,32,4,2.287,29.669,0.058,26.2,27.3,29.7,31.8,32.7
229,32,5,2.283,29.753,0.058,26.3,27.4,29.8,31.9,32.8
230,32,6,2.273,29.918,0.057,26.4,27.6,29.9,32,32.9
231,33,0,2.268,30,0.057,26.5,27.7,30,32.1,33
232,33,1,2.263,30.081,0.057,26.6,27.8,30.1,32.2,33.1
233,33,2,2.252,30.24,0.056,26.8,28,30.2,32.3,33.2
234,33,3,2.245,30.319,0.056,26.9,28.1,30.3,32.4,33.3
235,33,4,2.232,30.474,0.055,27.1,28.2,30.5,32.5,33.4
236,33,5,2.225,30.55,0.055,27.2,28.3,30.5,32.6,33.5
237,33,6,2.209,30.699,0.054,27.4,28.5,30.7,32.7,33.6
238,34,0,2.201,30.773,0.054,27.5,28.6,30.8,32.8,33.7
239,34,1,2.193,30.845,0.053,27.6,28.6,30.8,32.9,33.8
240,34,2,2.175,30.988,0.052,27.7,28.8,31,33,33.9
