GA_total,GA_weeks,GA_days,L,M,S,p3,p10,p50,p90,p97
154,22,0,1.874,27.203,0.06,23.9,25,27.2,29.2,30.1
155,22,1,1.91,27.345,0.06,24.1,25.2,27.3,29.4,30.3
156,22,2,1.981,27.63,0.06,24.3,25.4,27.6,29.7,30.6
157,22,3,2.016,27.772,0.06,24.4,25.5,27.8,29.8,30.7
158,22,4,2.089,28.056,0.06,24.7,25.8,28.1,30.1,31
159,22,5,2.125,28.198,0.06,24.8,25.9,28.2,30.3,31.2
160,22,6,2.199,28.484,0.06,25,26.2,28.5,30.6,31.5
161,23,0,2.237,28.627,0.06,25.1,26.3,28.6,30.7,31.7
162,23,1,2.274,28.77,0.06,25.3,26.4,28.8,30.9,31.8
163,23,2,2.348,29.059,0.06,25.5,26.7,29.1,31.2,32.1
164,23,3,2.385,29.204,0.06,25.6,26.8,29.2,31.3,32.3
165,23,4,2.457,29.496,0.06,25.9,27.1,29.5,31.6,32.6
166,23,5,2.494,29.643,0.06,26,27.2,29.6,31.8,32.7
167,23,6,2.565,29.938,0.059,26.2,27.5,29.9,32.1,33
168,24,0,2.6,30.087,0.059,26.4,27.6,30.1,32.3,33.2
169,24,1,2.635,30.237,0.059,26.5,27.8,30.2,32.4,33.3
170,24,2,2.702,30.538,0.059,26.7,28,30.5,32.7,33.7
171,24,3,2.734,30.69,0.059,26.9,28.2,30.7,32.9,33.8
172,24,4,2.797,30.995,0.059,27.1,28.5,31,33.2,34.1
173,24,5,2.826,31.148,0.059,27.3,28.6,31.1,33.4,34.3
174,24,6,2.88,31.456,0.059,27.5,28.9,31.5,33.7,34.6
175,25,0,2.903,31.611,0.059,27.7,29,31.6,33.8,34.8
176,25,1,2.925,31.766,0.059,27.8,29.2,31.8,34,34.9
177,25,2,2.961,32.078,0.058,28.1,29.5,32.1,34.3,35.3
178,25,3,2.976,32.235,0.058,28.2,29.6,32.2,34.5,35.4
179,25,4,3.001,32.551,0.058,28.5,29.9,32.6,34.8,35.8
180,25,5,3.012,32.709,0.058,28.7,30.1,32.7,35,35.9
181,25,6,3.028,33.025,0.057,29,30.4,33,35.3,36.3
182,26,0,3.034,33.184,0.057,29.1,30.5,33.2,35.5,36.4
183,26,1,3.039,33.343,0.057,29.3,30.7,33.3,35.6,36.6
184,26,2,3.046,33.66,0.057,29.6,31,33.7,35.9,36.9
185,26,3,3.048,33.818,0.056,29.8,31.2,33.8,36.1,37.1
186,26,4,3.049,34.133,0.056,30.1,31.5,34.1,36.4,37.4
187,26,5,3.048,34.291,0.056,30.2,31.6,34.3,36.6,37.5
188,26,6,3.043,34.604,0.055,30.6,32,34.6,36.9,37.9
189,27,0,3.038,34.759,0.055,30.7,32.1,34.8,37,38
190,27,1,3.032,34.914,0.055,30.9,32.3,34.9,37.2,38.2
191,27,2,3.016,35.222,0.054,31.2,32.6,35.2,37.5,38.5
192,27,3,3.005,35.376,0.054,31.3,32.7,35.4,37.7,38.6
193,27,4,2.981,35.68,0.053,31.7,33,35.7,38,39
194,27,5,2.967,35.831,0.053,31.8,33.2,35.8,38.1,39.1
195,27,6,2.936,36.132,0.053,32.1,33.5,36.1,38.4,39.4
196,28,0,2.919,36.282,0.053,32.3,33.7,36.3,38.6,39.6
197,28,1,2.9,36.431,0.053,32.4,33.8,36.4,38.7,39.7
198,28,2,2.86,36.728,0.052,32.7,34.1,36.7,39,40
199,28,3,2.838,36.876,0.052,32.9,34.2,36.9,39.2,40.2
200,28,4,2.789,37.172,0.052,33.2,34.5,37.2,39.5,40.5
201,28,5,2.763,37.319,0.052,33.3,34.7,37.3,39.7,40.7
202,28,6,2.704,37.614,0.052,33.6,35,37.6,40,41
203,29,0,2.673,37.761,0.051,33.8,35.1,37.8,40.1,41.2
204,29,1,2.64,37.908,0.051,33.9,35.3,37.9,40.3,41.3
205,29,2,2.572,38.202,0.051,34.2,35.5,38.2,40.6,41.6
206,29,3,2.536,38.348,0.051,34.3,35.7,38.3,40.8,41.8
207,29,4,2.465,38.64,0.051,34.6,36,38.6,41.1,42.1
208,29,5,2.43,38.785,0.051,34.7,36.1,38.8,41.2,42.3
209,29,6,2.36,39.075,0.051,35,36.4,39.1,41.5,42.6
210,30,0,2.326,39.218,0.051,35.2,36.5,39.2,41.7,42.8
211,30,1,2.294,39.361,0.051,35.3,36.6,39.4,41.9,43
212,30,2,2.232,39.645,0.052,35.5,36.9,39.6,42.2,43.3
213,30,3,2.204,39.786,0.052,35.7,37,39.8,42.3,43.4
214,30,4,2.152,40.063,0.052,35.9,37.3,40.1,42.6,43.8
215,30,5,2.129,40.2,0.052,36,37.4,40.2,42.8,43.9
216,30,6,2.09,40.47,0.052,36.3,37.7,40.5,43.1,44.2
217,31,0,2.074,40.602,0.052,36.4,37.8,40.6,43.2,44.4
218,31,1,2.061,40.733,0.052,36.5,37.9,40.7,43.4,44.5
219,31,2,2.043,40.991,0.052,36.7,38.1,41,43.7,44.8
220,31,3,2.039,41.117,0.052,36.8,38.2,41.1,43.8,45
221,31,4,2.039,41.365,0.053,37,38.5,41.4,44.1,45.3
222,31,5,2.045,41.487,0.053,37.1,38.6,41.5,44.2,45.4
223,31,6,2.067,41.726,0.053,37.3,38.8,41.7,44.5,45.7
224,32,0,2.084,41.843,0.053,37.4,38.9,41.8,44.6,45.8
225,32,1,2.103,41.96,0.053,37.5,39,42,44.7,45.9
226,32,2,2.149,42.189,0.053,37.7,39.2,42.2,44.9,46.2
227,32,3,2.176,42.302,0.053,37.8,39.3,42.3,45.1,46.3
228,32,4,2.234,42.527,0.053,38,39.5,42.5,45.3,46.5
229,32,5,2.265,42.638,0.053,38.1,39.6,42.6,45.4,46.6
230,32,6,2.331,42.859,0.053,38.3,39.8,42.9,45.6,46.9
231,33,0,2.366,42.969,0.053,38.4,39.9,43,45.7,47
232,33,1,2.402,43.079,0.053,38.5,40,43.1,45.9,47.1
233,33,2,2.476,43.298,0.052,38.7,40.2,43.3,46.1,47.3
234,33,3,2.513,43.407,0.052,38.8,40.3,43.4,46.2,47.4
235,33,4,2.59,43.624,0.052,38.9,40.5,43.6,46.4,47.6
236,33,5,2.628,43.733,0.052,39,40.6,43.7,46.5,47.7
237,33,6,2.706,43.95,0.052,39.2,40.8,44,46.7,47.9
238,34,0,2.745,44.059,0.052,39.3,40.9,44.1,46.8,48
239,34,1,2.785,44.167,0.052,39.4,41,44.2,46.9,48.1
240,34,2,2.865,44.383,0.051,39.6,41.3,44.4,47.1,48.3
241,34,3,2.906,44.491,0.051,39.7,41.4,44.5,47.3,48.4
242,34,4,2.987,44.705,0.051,39.9,41.6,44.7,47.5,48.6
243,34,5,3.028,44.813,0.051,40,41.7,44.8,47.6,48.7
244,34,6,3.108,45.027,0.051,40.2,41.9,45,47.8,48.9
245,35,0,3.147,45.134,0.05,40.3,42,45.1,47.9,49
246,35,1,3.186,45.241,0.05,40.4,42.1,45.2,48,49.1
247,35,2,3.259,45.456,0.05,40.7,42.3,45.5,48.2,49.3
248,35,3,3.293,45.563,0.05,40.8,42.4,45.6,48.3,49.4
249,35,4,3.355,45.778,0.049,41,42.7,45.8,48.5,49.6
250,35,5,3.382,45.885,0.049,41.1,42.8,45.9,48.6,49.7
251,35,6,3.427,46.101,0.048,41.4,43,46.1,48.8,49.9
252,36,0,3.445,46.209,0.048,41.5,43.1,46.2,48.9,50
253,36,1,3.459,46.316,0.048,41.6,43.3,46.3,48.9,50.1
254,36,2,3.476,46.53,0.047,41.9,43.5,46.5,49.1,50.3
255,36,3,3.48,46.637,0.047,42,43.6,46.6,49.2,50.3
256,36,4,3.474,46.846,0.046,42.3,43.9,46.8,49.4,50.5
257,36,5,3.465,46.949,0.045,42.4,44,46.9,49.5,50.6
258,36,6,3.436,47.151,0.045,42.7,44.2,47.2,49.7,50.8
259,37,0,3.415,47.249,0.044,42.8,44.4,47.2,49.8,50.8
260,37,1,3.391,47.345,0.044,43,44.5,47.3,49.9,50.9
261,37,2,3.333,47.53,0.043,43.2,44.7,47.5,50,51.1
262,37,3,3.3,47.618,0.043,43.4,44.8,47.6,50.1,51.1
263,37,4,3.226,47.788,0.042,43.6,45,47.8,50.2,51.3
264,37,5,3.186,47.869,0.042,43.7,45.1,47.9,50.3,51.3
265,37,6,3.1,48.026,0.041,44,45.3,48,50.4,51.5
266,38,0,3.055,48.101,0.041,44.1,45.4,48.1,50.5,51.5
267,38,1,3.009,48.176,0.04,44.2,45.5,48.2,50.5,51.6
268,38,2,2.913,48.322,0.04,44.4,45.7,48.3,50.7,51.7
269,38,3,2.863,48.393,0.039,44.5,45.8,48.4,50.7,51.8
270,38,4,2.761,48.534,0.039,44.7,46,48.5,50.9,51.9
271,38,5,2.709,48.603,0.039,44.8,46.1,48.6,50.9,51.9
272,38,6,2.604,48.739,0.038,45,46.3,48.7,51,52
273,39,0,2.551,48.805,0.038,45.1,46.3,48.8,51.1,52.1
274,39,1,2.497,48.871,0.038,45.2,46.4,48.9,51.1,52.2
275,39,2,2.39,48.999,0.037,45.4,46.6,49,51.3,52.3
276,39,3,2.337,49.062,0.037,45.5,46.7,49.1,51.3,52.3
277,39,4,2.229,49.185,0.037,45.6,46.8,49.2,51.4,52.5
278,39,5,2.176,49.246,0.037,45.7,46.9,49.2,51.5,52.5
279,39,6,2.07,49.365,0.036,45.9,47,49.4,51.6,52.6
280,40,0,2.019,49.424,0.036,45.9,47.1,49.4,51.7,52.7
281,40,1,1.97,49.481,0.036,46,47.1,49.5,51.7,52.7
282,40,2,1.878,49.59,0.036,46.1,47.3,49.6,51.8,52.8
283,40,3,1.835,49.641,0.036,46.2,47.3,49.6,51.9,52.9
284,40,4,1.756,49.74,0.036,46.3,47.4,49.7,52,53
285,40,5,1.719,49.787,0.036,46.4,47.5,49.8,52,53
286,40,6,1.65,49.877,0.035,46.5,47.6,49.9,52.1,53.1
287,41,0,1.617,49.92,0.035,46.5,47.6,49.9,52.2,53.2
288,41,1,1.585,49.963,0.035,46.6,47.7,50,52.2,53.2
289,41,2,1.524,50.046,0.035,46.7,47.8,50,52.3,53.3
290,41,3,1.494,50.087,0.035,46.7,47.8,50.1,52.3,53.3
291,41,4,1.435,50.167,0.035,46.8,47.9,50.2,52.4,53.4
292,41,5,1.406,50.207,0.035,46.9,47.9,50.2,52.4,53.5
293,41,6,1.349,50.285,0.035,46.9,48,50.3,52.5,53.5
