GA_total,GA_weeks,GA_days,L,M,S,p3,p10,p50,p90,p97
154,22,0,0.603,400.942,0.146,297,329,401,479,517
155,22,1,0.604,411.093,0.146,305,337,411,491,530
156,22,2,0.606,431.401,0.146,320,354,431,515,556
157,22,3,0.607,441.561,0.146,327,362,442,527,569
158,22,4,0.61,461.903,0.146,342,379,462,551,595
159,22,5,0.611,472.09,0.146,350,387,472,564,608
160,22,6,0.613,492.505,0.146,365,404,493,588,635
161,23,0,0.614,502.738,0.146,372,412,503,600,648
162,23,1,0.616,512.991,0.146,380,421,513,612,661
163,23,2,0.618,533.567,0.146,395,437,534,637,688
164,23,3,0.619,543.893,0.146,403,446,544,649,701
165,23,4,0.622,564.634,0.146,418,463,565,674,728
166,23,5,0.623,575.052,0.146,425,471,575,686,741
167,23,6,0.625,595.989,0.146,441,488,596,711,768
168,24,0,0.627,606.51,0.146,449,497,607,724,782
169,24,1,0.628,617.069,0.146,456,506,617,737,795
170,24,2,0.63,638.306,0.146,472,523,638,762,823
171,24,3,0.632,648.989,0.146,480,532,649,775,836
172,24,4,0.634,670.493,0.146,496,549,670,800,864
173,24,5,0.636,681.319,0.146,503,558,681,813,878
174,24,6,0.638,703.133,0.146,519,576,703,839,906
175,25,0,0.64,714.124,0.146,528,585,714,853,920
176,25,1,0.641,725.176,0.146,536,594,725,866,934
177,25,2,0.644,747.466,0.146,552,612,747,892,963
178,25,3,0.645,758.71,0.146,560,621,759,906,978
179,25,4,0.648,781.404,0.146,577,640,781,933,1007
180,25,5,0.649,792.859,0.147,585,649,793,947,1022
181,25,6,0.652,815.994,0.147,602,668,816,974,1051
182,26,0,0.654,827.677,0.147,611,677,828,988,1066
183,26,1,0.655,839.44,0.147,619,687,839,1002,1082
184,26,2,0.658,863.209,0.147,637,706,863,1031,1112
185,26,3,0.66,875.219,0.147,646,716,875,1045,1128
186,26,4,0.663,899.489,0.147,663,736,899,1074,1159
187,26,5,0.665,911.752,0.147,672,746,912,1088,1175
188,26,6,0.668,936.536,0.147,690,766,937,1118,1206
189,27,0,0.669,949.058,0.147,699,776,949,1133,1223
190,27,1,0.671,961.667,0.147,709,787,962,1148,1239
191,27,2,0.675,987.144,0.147,727,807,987,1178,1272
192,27,3,0.677,1000.013,0.147,737,818,1000,1194,1288
193,27,4,0.68,1026.008,0.147,756,839,1026,1225,1321
194,27,5,0.682,1039.132,0.147,765,850,1039,1240,1338
195,27,6,0.686,1065.627,0.147,785,871,1066,1272,1372
196,28,0,0.688,1078.994,0.147,794,882,1079,1288,1389
197,28,1,0.69,1092.439,0.147,804,893,1092,1304,1407
198,28,2,0.695,1119.555,0.147,824,915,1120,1336,1441
199,28,3,0.697,1133.222,0.147,834,926,1133,1352,1459
200,28,4,0.702,1160.77,0.147,854,949,1161,1385,1494
201,28,5,0.704,1174.647,0.147,864,960,1175,1402,1512
202,28,6,0.709,1202.605,0.147,885,983,1203,1435,1547
203,29,0,0.712,1216.684,0.147,895,994,1217,1452,1565
204,29,1,0.714,1230.828,0.147,905,1006,1231,1468,1583
205,29,2,0.72,1259.306,0.147,926,1029,1259,1502,1620
206,29,3,0.723,1273.641,0.147,936,1041,1274,1519,1638
207,29,4,0.729,1302.498,0.147,957,1064,1302,1553,1675
208,29,5,0.732,1317.02,0.147,968,1076,1317,1570,1693
209,29,6,0.738,1346.249,0.146,989,1100,1346,1605,1730
210,30,0,0.742,1360.956,0.146,1000,1112,1361,1622,1749
211,30,1,0.745,1375.724,0.146,1011,1124,1376,1640,1767
212,30,2,0.752,1405.443,0.146,1033,1148,1405,1675,1805
213,30,3,0.756,1420.394,0.146,1043,1160,1420,1693,1824
