GA_total,GA_weeks,GA_days,L,M,S,p3,p10,p50,p90,p97
154,22,0,1.281,426.889,0.139,310,349,427,501,535
155,22,1,1.276,435.934,0.139,317,356,436,512,546
156,22,2,1.266,454.033,0.139,330,371,454,533,569
157,22,3,1.261,463.088,0.139,337,378,463,544,581
158,22,4,1.251,481.218,0.139,350,393,481,565,604
159,22,5,1.245,490.294,0.139,357,401,490,576,615
160,22,6,1.235,508.482,0.14,370,415,508,598,638
161,23,0,1.23,517.598,0.14,377,423,518,608,650
162,23,1,1.225,526.735,0.14,384,430,527,619,662
163,23,2,1.215,545.081,0.14,397,445,545,641,685
164,23,3,1.21,554.299,0.14,404,453,554,652,697
165,23,4,1.199,572.842,0.14,417,468,573,674,720
166,23,5,1.194,582.175,0.14,424,476,582,685,732
167,23,6,1.184,600.983,0.14,438,491,601,707,756
168,24,0,1.179,610.466,0.14,445,499,610,719,768
169,24,1,1.173,620.006,0.14,452,507,620,730,780
170,24,2,1.162,639.273,0.141,466,522,639,753,805
171,24,3,1.157,649.009,0.141,473,530,649,764,817
172,24,4,1.146,668.705,0.141,488,546,669,788,843
173,24,5,1.14,678.674,0.141,495,555,679,800,855
174,24,6,1.129,698.874,0.141,510,571,699,824,881
175,25,0,1.123,709.112,0.141,518,579,709,836,894
176,25,1,1.118,719.447,0.141,525,588,719,848,908
177,25,2,1.106,740.419,0.141,541,605,740,873,935
178,25,3,1.1,751.062,0.141,548,614,751,886,948
179,25,4,1.088,772.674,0.141,564,631,773,912,976
180,25,5,1.081,783.647,0.142,573,640,784,925,990
181,25,6,1.069,805.938,0.142,589,659,806,951,1019
182,26,0,1.062,817.259,0.142,597,668,817,965,1033
183,26,1,1.056,828.7,0.142,606,677,829,979,1048
184,26,2,1.043,851.948,0.142,623,696,852,1006,1078
185,26,3,1.036,863.758,0.142,632,706,864,1021,1093
186,26,4,1.022,887.756,0.142,650,726,888,1049,1125
187,26,5,1.015,899.945,0.142,659,736,900,1064,1140
188,26,6,1.001,924.707,0.142,677,756,925,1093,1172
