GA_total,GA_weeks,GA_days,L,M,S,p3,p10,p50,p90,p97
154,22,0,1.594,446.995,0.122,336,373,447,514,544
155,22,1,1.591,457.208,0.122,343,382,457,526,556
156,22,2,1.585,477.633,0.122,359,399,478,549,581
157,22,3,1.582,487.847,0.122,366,407,488,561,594
158,22,4,1.575,508.279,0.123,382,424,508,585,619
159,22,5,1.572,518.499,0.123,389,433,518,597,631
160,22,6,1.566,538.951,0.123,405,450,539,620,656
161,23,0,1.563,549.186,0.123,412,458,549,632,669
162,23,1,1.559,559.427,0.123,420,467,559,644,681
163,23,2,1.553,579.937,0.123,435,484,580,668,707
164,23,3,1.55,590.211,0.123,443,493,590,680,719
165,23,4,1.544,610.811,0.123,458,510,611,704,745
166,23,5,1.54,621.144,0.123,466,518,621,716,757
167,23,6,1.534,641.89,0.123,482,535,642,740,783
168,24,0,1.531,652.311,0.124,489,544,652,752,796
169,24,1,1.528,662.77,0.124,497,553,663,764,809
170,24,2,1.521,683.813,0.124,513,570,684,788,835
171,24,3,1.518,694.405,0.124,521,579,694,801,848
172,24,4,1.512,715.744,0.124,537,597,716,825,874
173,24,5,1.509,726.499,0.124,545,606,726,838,887
174,24,6,1.502,748.195,0.124,561,624,748,863,914
175,25,0,1.499,759.141,0.124,569,633,759,876,928
176,25,1,1.496,770.156,0.124,578,642,770,888,941
177,25,2,1.489,792.401,0.125,594,660,792,914,969
178,25,3,1.486,803.634,0.125,603,670,804,927,983
179,25,4,1.479,826.328,0.125,619,689,826,954,1011
180,25,5,1.476,837.793,0.125,628,698,838,967,1025
181,25,6,1.469,860.962,0.125,645,717,861,994,1054
182,26,0,1.466,872.669,0.125,654,727,873,1008,1068
183,26,1,1.462,884.461,0.125,663,737,884,1022,1083
184,26,2,1.456,908.303,0.125,681,757,908,1049,1112
185,26,3,1.452,920.354,0.125,690,766,920,1063,1127
186,26,4,1.446,944.725,0.126,708,787,945,1092,1157
187,26,5,1.442,957.047,0.126,717,797,957,1106,1173
188,26,6,1.436,981.965,0.126,736,818,982,1135,1204
189,27,0,1.432,994.562,0.126,745,828,995,1150,1219
190,27,1,1.429,1007.252,0.126,754,838,1007,1165,1235
191,27,2,1.422,1032.908,0.126,773,860,1033,1195,1267
192,27,3,1.419,1045.874,0.126,783,870,1046,1210,1283
193,27,4,1.413,1072.086,0.126,803,892,1072,1240,1316
