GA_total,GA_weeks,GA_days,L,M,S,p3,p10,p50,p90,p97
154,22,0,0.682,449.386,0.15,329,366,449,538,581
155,22,1,0.683,459.642,0.15,336,374,460,550,595
156,22,2,0.686,480.156,0.15,351,391,480,575,621
157,22,3,0.687,490.415,0.15,359,399,490,587,634
158,22,4,0.69,510.946,0.149,374,416,511,612,661
159,22,5,0.691,521.222,0.149,381,424,521,624,674
160,22,6,0.694,541.809,0.149,396,441,542,648,700
161,23,0,0.696,552.127,0.149,404,450,552,661,713
162,23,1,0.697,562.465,0.149,412,458,562,673,727
163,23,2,0.7,583.214,0.149,427,475,583,698,753
164,23,3,0.701,593.63,0.149,435,484,594,710,767
165,23,4,0.704,614.559,0.149,450,501,615,735,794
166,23,5,0.706,625.079,0.149,458,509,625,748,807
167,23,6,0.708,646.244,0.149,473,527,646,773,834
168,24,0,0.71,656.895,0.149,481,535,657,785,848
169,24,1,0.711,667.594,0.149,489,544,668,798,861
170,24,2,0.714,689.15,0.148,505,562,689,824,889
171,24,3,0.716,700.011,0.148,513,571,700,837,903
172,24,4,0.719,721.915,0.148,529,589,722,863,931
173,24,5,0.72,732.961,0.148,537,598,733,876,945
174,24,6,0.723,755.25,0.148,553,616,755,902,973
175,25,0,0.724,766.497,0.148,562,625,766,916,988
176,25,1,0.726,777.813,0.148,570,634,778,929,1002
177,25,2,0.729,800.663,0.148,587,653,801,956,1031
178,25,3,0.73,812.199,0.148,595,662,812,970,1046
179,25,4,0.733,835.504,0.148,612,682,836,997,1076
180,25,5,0.735,847.274,0.148,621,691,847,1011,1091
181,25,6,0.738,871.053,0.147,639,711,871,1040,1121
182,26,0,0.739,883.061,0.147,648,721,883,1054,1136
183,26,1,0.741,895.149,0.147,656,730,895,1068,1152
184,26,2,0.744,919.569,0.147,675,750,920,1097,1183
185,26,3,0.746,931.903,0.147,684,761,932,1112,1198
186,26,4,0.749,956.828,0.147,702,781,957,1141,1230
187,26,5,0.751,969.421,0.147,711,791,969,1156,1246
188,26,6,0.754,994.873,0.147,730,812,995,1186,1278
189,27,0,0.756,1007.73,0.147,740,823,1008,1201,1295
190,27,1,0.757,1020.69,0.147,749,834,1021,1217,1311
191,27,2,0.761,1046.87,0.146,769,855,1047,1248,1344
192,27,3,0.762,1060.11,0.146,778,866,1060,1263,1361
193,27,4,0.766,1086.86,0.146,798,888,1087,1295,1395
194,27,5,0.767,1100.38,0.146,808,899,1100,1311,1412
195,27,6,0.771,1127.71,0.146,829,922,1128,1343,1446
196,28,0,0.773,1141.52,0.146,839,933,1142,1359,1464
197,28,1,0.775,1155.419,0.146,849,944,1155,1376,1481
198,28,2,0.778,1183.499,0.146,870,967,1183,1409,1517
199,28,3,0.78,1197.681,0.145,880,979,1198,1425,1535
200,28,4,0.784,1226.334,0.145,902,1003,1226,1459,1571
201,28,5,0.786,1240.807,0.145,913,1015,1241,1476,1589
202,28,6,0.79,1270.052,0.145,934,1039,1270,1510,1626
203,29,0,0.793,1284.827,0.145,945,1051,1285,1528,1644
204,29,1,0.795,1299.706,0.145,956,1063,1300,1545,1663
205,29,2,0.799,1329.779,0.145,979,1088,1330,1581,1701
206,29,3,0.802,1344.975,0.144,990,1101,1345,1598,1720
207,29,4,0.806,1375.688,0.144,1013,1126,1376,1634,1758
208,29,5,0.809,1391.206,0.144,1025,1139,1391,1652,1777
209,29,6,0.814,1422.562,0.144,1048,1165,1423,1689,1817
210,30,0,0.816,1438.4,0.144,1060,1178,1438,1708,1836
211,30,1,0.819,1454.343,0.144,1072,1191,1454,1726,1856
212,30,2,0.824,1486.537,0.143,1096,1218,1487,1764,1896
213,30,3,0.827,1502.783,0.143,1108,1231,1503,1783,1917
214,30,4,0.833,1535.558,0.143,1133,1259,1536,1821,1957
215,30,5,0.836,1552.081,0.143,1145,1272,1552,1840,1978
216,30,6,0.842,1585.385,0.143,1170,1300,1585,1879,2019
217,31,0,0.845,1602.161,0.142,1183,1314,1602,1899,2040
218,31,1,0.849,1619.016,0.142,1195,1328,1619,1918,2060
219,31,2,0.855,1652.957,0.142,1221,1356,1653,1957,2102
220,31,3,0.859,1670.039,0.142,1234,1371,1670,1977,2123
221,31,4,0.866,1704.417,0.141,1260,1399,1704,2017,2166
222,31,5,0.87,1721.712,0.141,1273,1414,1722,2037,2187
223,31,6,0.877,1756.51,0.141,1299,1443,1757,2077,2229
224,32,0,0.881,1774.012,0.141,1312,1457,1774,2097,2251
225,32,1,0.885,1791.581,0.141,1325,1472,1792,2118,2272
226,32,2,0.893,1826.911,0.14,1352,1502,1827,2158,2315
227,32,3,0.897,1844.667,0.14,1366,1517,1845,2179,2337
228,32,4,0.905,1880.35,0.14,1393,1547,1880,2220,2380
229,32,5,0.909,1898.274,0.139,1407,1562,1898,2240,2402
230,32,6,0.917,1934.284,0.139,1434,1592,1934,2281,2445
231,33,0,0.922,1952.369,0.139,1448,1608,1952,2302,2467
232,33,1,0.926,1970.51,0.139,1462,1623,1971,2323,2489
233,33,2,0.934,2006.964,0.138,1490,1654,2007,2364,2532
234,33,3,0.938,2025.282,0.138,1505,1670,2025,2385,2554
235,33,4,0.946,2062.107,0.137,1533,1701,2062,2427,2598
236,33,5,0.95,2080.618,0.137,1548,1717,2081,2448,2620
237,33,6,0.957,2117.848,0.137,1577,1749,2118,2490,2665
238,34,0,0.96,2136.572,0.136,1592,1765,2137,2511,2687
239,34,1,0.964,2155.37,0.136,1607,1781,2155,2532,2709
240,34,2,0.97,2193.204,0.135,1637,1814,2193,2575,2754
241,34,3,0.972,2212.244,0.135,1652,1830,2212,2596,2776
242,34,4,0.977,2250.584,0.134,1683,1864,2251,2639,2821
