gestational_age_week,gestational_age_day,L,M,S
22,0,0.603,400.942,0.146
22,1,0.604,411.093,0.146
22,2,0.606,431.401,0.146
22,3,0.607,441.561,0.146
22,4,0.61,461.903,0.146
22,5,0.611,472.09,0.146
22,6,0.613,492.505,0.146
23,0,0.614,502.738,0.146
23,1,0.616,512.991,0.146
23,2,0.618,533.567,0.146
23,3,0.619,543.893,0.146
23,4,0.622,564.634,0.146
23,5,0.623,575.052,0.146
23,6,0.625,595.989,0.146
24,0,0.627,606.51,0.146
24,1,0.628,617.069,0.146
24,2,0.63,638.306,0.146
24,3,0.632,648.989,0.146
24,4,0.634,670.493,0.146
24,5,0.636,681.319,0.146
24,6,0.638,703.133,0.146
25,0,0.64,714.124,0.146
25,1,0.641,725.176,0.146
25,2,0.644,747.466,0.146
25,3,0.645,758.71,0.146
25,4,0.648,781.404,0.146
25,5,0.649,792.859,0.147
25,6,0.652,815.994,0.147
26,0,0.654,827.677,0.147
26,1,0.655,839.44,0.147
26,2,0.658,863.209,0.147
26,3,0.66,875.219,0.147
26,4,0.663,899.489,0.147
26,5,0.665,911.752,0.147
26,6,0.668,936.536,0.147
27,0,0.669,949.058,0.147
27,1,0.671,961.667,0.147
27,2,0.675,987.144,0.147
27,3,0.677,1000.013,0.147
27,4,0.68,1026.008,0.147
27,5,0.682,1039.132,0.147
27,6,0.686,1065.627,0.147
28,0,0.688,1078.994,0.147
28,1,0.69,1092.439,0.147
28,2,0.695,1119.555,0.147
28,3,0.697,1133.222,0.147
28,4,0.702,1160.77,0.147
28,5,0.704,1174.647,0.147
28,6,0.709,1202.605,0.147
29,0,0.712,1216.684,0.147
29,1,0.714,1230.828,0.147
29,2,0.72,1259.306,0.147
29,3,0.723,1273.641,0.147
29,4,0.729,1302.498,0.147
29,5,0.732,1317.02,0.147
29,6,0.738,1346.249,0.146
30,0,0.742,1360.956,0.146
30,1,0.745,1375.724,0.146
30,2,0.752,1405.443,0.146
30,3,0.756,1420.394,0.146
30,4,0.763,1450.481,0.146
30,5,0.767,1465.619,0.146
30,6,0.775,1496.084,0.146
31,0,0.779,1511.412,0.146
31,1,0.783,1526.806,0.146
31,2,0.792,1557.787,0.146
31,3,0.796,1573.375,0.145
31,4,0.805,1604.746,0.145
31,5,0.809,1620.533,0.145
31,6,0.818,1652.314,0.145
32,0,0.822,1668.311,0.145
32,1,0.826,1684.38,0.145
32,2,0.835,1716.737,0.144
32,3,0.839,1733.027,0.144
32,4,0.848,1765.83,0.144
32,5,0.852,1782.344,0.144
32,6,0.86,1815.602,0.143
33,0,0.864,1832.346,0.143
33,1,0.867,1849.165,0.143
33,2,0.874,1883.029,0.142
33,3,0.878,1900.072,0.142
33,4,0.884,1934.376,0.142
33,5,0.887,1951.634,0.141
33,6,0.892,1986.354,0.141
34,0,0.895,2003.812,0.141
34,1,0.897,2021.33,0.14
34,2,0.901,2056.536,0.14
34,3,0.903,2074.217,0.139
34,4,0.905,2109.722,0.139
34,5,0.906,2127.539,0.138
34,6,0.908,2163.282,0.137
35,0,0.908,2181.195,0.137
35,1,0.908,2199.129,0.137
35,2,0.908,2235.037,0.136
35,3,0.907,2253.003,0.135
35,4,0.905,2288.939,0.134
35,5,0.904,2306.904,0.134
35,6,0.9,2342.807,0.133
36,0,0.898,2360.74,0.132
36,1,0.895,2378.655,0.132
36,2,0.889,2414.416,0.131
36,3,0.885,2432.256,0.13
36,4,0.877,2467.833,0.129
36,5,0.873,2485.56,0.129
36,6,0.863,2520.862,0.127
37,0,0.857,2538.419,0.127
37,1,0.852,2555.903,0.126
37,2,0.84,2590.626,0.125
37,3,0.833,2607.854,0.124
37,4,0.82,2642.004,0.123
37,5,0.813,2658.908,0.122
37,6,0.798,2692.326,0.121
38,0,0.791,2708.82,0.12
38,1,0.783,2725.156,0.12
38,2,0.768,2757.313,0.119
38,3,0.76,2773.124,0.118
38,4,0.745,2804.191,0.117
38,5,0.737,2819.438,0.116
38,6,0.722,2849.331,0.115
39,0,0.714,2863.961,0.114
39,1,0.707,2878.374,0.114
39,2,0.692,2906.536,0.113
39,3,0.685,2920.286,0.112
39,4,0.671,2947.132,0.111
39,5,0.664,2960.242,0.111
39,6,0.65,2985.861,0.11
40,0,0.644,2998.377,0.109
40,1,0.637,3010.707,0.109
40,2,0.625,3034.841,0.108
40,3,0.619,3046.669,0.108
40,4,0.608,3069.911,0.107
40,5,0.602,3081.355,0.106
40,6,0.592,3103.976,0.106
41,0,0.586,3115.188,0.105
41,1,0.581,3126.352,0.105
41,2,0.571,3148.575,0.104
41,3,0.566,3159.651,0.104
41,4,0.556,3181.759,0.103
41,5,0.552,3192.798,0.103
41,6,0.542,3214.858,0.102
