gestational_age_week,gestational_age_day,L,M,S
22,0,1.281,426.889,0.139
22,1,1.276,435.934,0.139
22,2,1.266,454.033,0.139
22,3,1.261,463.088,0.139
22,4,1.251,481.218,0.139
22,5,1.245,490.294,0.139
22,6,1.235,508.482,0.14
23,0,1.23,517.598,0.14
23,1,1.225,526.735,0.14
23,2,1.215,545.081,0.14
23,3,1.21,554.299,0.14
23,4,1.199,572.842,0.14
23,5,1.194,582.175,0.14
23,6,1.184,600.983,0.14
24,0,1.179,610.466,0.14
24,1,1.173,620.006,0.14
24,2,1.162,639.273,0.141
24,3,1.157,649.009,0.141
24,4,1.146,668.705,0.141
24,5,1.14,678.674,0.141
24,6,1.129,698.874,0.141
25,0,1.123,709.112,0.141
25,1,1.118,719.447,0.141
25,2,1.106,740.419,0.141
25,3,1.1,751.062,0.141
25,4,1.088,772.674,0.141
25,5,1.081,783.647,0.142
25,6,1.069,805.938,0.142
26,0,1.062,817.259,0.142
26,1,1.056,828.7,0.142
26,2,1.043,851.948,0.142
26,3,1.036,863.758,0.142
26,4,1.022,887.756,0.142
26,5,1.015,899.945,0.142
26,6,1.001,924.707,0.142
27,0,0.994,937.281,0.142
27,1,0.987,949.983,0.143
27,2,0.972,975.773,0.143
27,3,0.965,988.859,0.143
27,4,0.95,1015.412,0.143
27,5,0.942,1028.876,0.143
27,6,0.927,1056.181,0.143
28,0,0.92,1070.02,0.143
28,1,0.912,1083.984,0.143
28,2,0.896,1112.286,0.143
28,3,0.889,1126.623,0.144
28,4,0.873,1155.661,0.144
28,5,0.865,1170.359,0.144
28,6,0.85,1200.105,0.144
29,0,0.842,1215.148,0.144
29,1,0.834,1230.302,0.144
29,2,0.818,1260.932,0.144
29,3,0.811,1276.406,0.144
29,4,0.795,1307.66,0.144
29,5,0.788,1323.439,0.144
29,6,0.773,1355.29,0.144
30,0,0.765,1371.355,0.145
30,1,0.758,1387.512,0.145
30,2,0.743,1420.085,0.145
30,3,0.736,1436.497,0.145
30,4,0.722,1469.559,0.145
30,5,0.715,1486.203,0.145
30,6,0.702,1519.701,0.145
31,0,0.695,1536.548,0.145
31,1,0.689,1553.456,0.145
31,2,0.677,1587.44,0.145
31,3,0.671,1604.51,0.145
31,4,0.66,1638.791,0.145
31,5,0.654,1655.999,0.145
31,6,0.644,1690.544,0.145
32,0,0.639,1707.879,0.145
32,1,0.635,1725.255,0.144
32,2,0.626,1760.129,0.144
32,3,0.622,1777.624,0.144
32,4,0.615,1812.721,0.144
32,5,0.612,1830.323,0.144
32,6,0.605,1865.626,0.144
33,0,0.603,1883.328,0.144
33,1,0.6,1901.062,0.143
33,2,0.595,1936.628,0.143
33,3,0.593,1954.461,0.143
33,4,0.589,1990.234,0.143
33,5,0.588,2008.179,0.142
33,6,0.584,2044.197,0.142
34,0,0.583,2062.279,0.142
34,1,0.581,2080.413,0.141
34,2,0.579,2116.842,0.141
34,3,0.578,2135.138,0.141
34,4,0.575,2171.9,0.14
34,5,0.574,2190.372,0.14
34,6,0.572,2227.5,0.139
35,0,0.571,2246.157,0.139
35,1,0.57,2264.874,0.138
35,2,0.568,2302.479,0.137
35,3,0.566,2321.361,0.137
35,4,0.564,2359.265,0.136
35,5,0.562,2378.274,0.136
35,6,0.559,2416.361,0.135
36,0,0.558,2435.417,0.134
36,1,0.556,2454.467,0.134
36,2,0.554,2492.515,0.133
36,3,0.552,2511.493,0.132
36,4,0.549,2549.31,0.131
36,5,0.548,2568.129,0.13
36,6,0.546,2605.528,0.129
37,0,0.545,2624.082,0.129
37,1,0.543,2642.52,0.128
37,2,0.541,2678.998,0.127
37,3,0.541,2697.017,0.126
37,4,0.539,2732.567,0.125
37,5,0.538,2750.08,0.124
37,6,0.536,2784.56,0.123
38,0,0.535,2801.525,0.122
38,1,0.534,2818.304,0.122
38,2,0.532,2851.31,0.12
38,3,0.531,2867.542,0.12
38,4,0.529,2899.479,0.119
38,5,0.528,2915.194,0.118
38,6,0.525,2946.153,0.117
39,0,0.524,2961.413,0.116
39,1,0.523,2976.534,0.116
39,2,0.52,3006.372,0.115
39,3,0.519,3021.102,0.114
39,4,0.517,3050.21,0.113
39,5,0.516,3064.594,0.112
39,6,0.515,3093.031,0.111
40,0,0.514,3107.083,0.111
40,1,0.514,3121.024,0.11
40,2,0.514,3148.585,0.11
40,3,0.514,3162.218,0.109
40,4,0.514,3189.226,0.108
40,5,0.514,3202.614,0.108
40,6,0.515,3229.207,0.107
41,0,0.515,3242.431,0.106
41,1,0.516,3255.617,0.106
41,2,0.517,3281.897,0.105
41,3,0.517,3294.999,0.105
41,4,0.519,3321.147,0.104
41,5,0.519,3334.198,0.104
41,6,0.521,3360.271,0.103
