gestational_age_week,gestational_age_day,L,M,S
22,0,0.682,449.386,0.15
22,1,0.683,459.642,0.15
22,2,0.686,480.156,0.15
22,3,0.687,490.415,0.15
22,4,0.69,510.946,0.149
22,5,0.691,521.222,0.149
22,6,0.694,541.809,0.149
23,0,0.696,552.127,0.149
23,1,0.697,562.465,0.149
23,2,0.7,583.214,0.149
23,3,0.701,593.63,0.149
23,4,0.704,614.559,0.149
23,5,0.706,625.079,0.149
23,6,0.708,646.244,0.149
24,0,0.71,656.895,0.149
24,1,0.711,667.594,0.149
24,2,0.714,689.15,0.148
24,3,0.716,700.011,0.148
24,4,0.719,721.915,0.148
24,5,0.72,732.961,0.148
24,6,0.723,755.25,0.148
25,0,0.724,766.497,0.148
25,1,0.726,777.813,0.148
25,2,0.729,800.663,0.148
25,3,0.73,812.199,0.148
25,4,0.733,835.504,0.148
25,5,0.735,847.274,0.148
25,6,0.738,871.053,0.147
26,0,0.739,883.061,0.147
26,1,0.741,895.149,0.147
26,2,0.744,919.569,0.147
26,3,0.746,931.903,0.147
26,4,0.749,956.828,0.147
26,5,0.751,969.421,0.147
26,6,0.754,994.873,0.147
27,0,0.756,1007.73,0.147
27,1,0.757,1020.69,0.147
27,2,0.761,1046.87,0.146
27,3,0.762,1060.11,0.146
27,4,0.766,1086.86,0.146
27,5,0.767,1100.38,0.146
27,6,0.771,1127.71,0.146
28,0,0.773,1141.52,0.146
28,1,0.775,1155.419,0.146
28,2,0.778,1183.499,0.146
28,3,0.78,1197.681,0.145
28,4,0.784,1226.334,0.145
28,5,0.786,1240.807,0.145
28,6,0.79,1270.052,0.145
29,0,0.793,1284.827,0.145
29,1,0.795,1299.706,0.145
29,2,0.799,1329.779,0.145
29,3,0.802,1344.975,0.144
29,4,0.806,1375.688,0.144
29,5,0.809,1391.206,0.144
29,6,0.814,1422.562,0.144
30,0,0.816,1438.4,0.144
30,1,0.819,1454.343,0.144
30,2,0.824,1486.537,0.143
30,3,0.827,1502.783,0.143
30,4,0.833,1535.558,0.143
30,5,0.836,1552.081,0.143
30,6,0.842,1585.385,0.143
31,0,0.845,1602.161,0.142
31,1,0.849,1619.016,0.142
31,2,0.855,1652.957,0.142
31,3,0.859,1670.039,0.142
31,4,0.866,1704.417,0.141
31,5,0.87,1721.712,0.141
31,6,0.877,1756.51,0.141
32,0,0.881,1774.012,0.141
32,1,0.885,1791.581,0.141
32,2,0.893,1826.911,0.14
32,3,0.897,1844.667,0.14
32,4,0.905,1880.35,0.14
32,5,0.909,1898.274,0.139
32,6,0.917,1934.284,0.139
33,0,0.922,1952.369,0.139
33,1,0.926,1970.51,0.139
33,2,0.934,2006.964,0.138
33,3,0.938,2025.282,0.138
33,4,0.946,2062.107,0.137
33,5,0.95,2080.618,0.137
33,6,0.957,2117.848,0.137
34,0,0.96,2136.572,0.136
34,1,0.964,2155.37,0.136
34,2,0.97,2193.204,0.135
34,3,0.972,2212.244,0.135
34,4,0.977,2250.584,0.134
34,5,0.978,2269.889,0.134
34,6,0.981,2308.773,0.133
35,0,0.982,2328.351,0.133
35,1,0.982,2348.017,0.133
35,2,0.981,2387.597,0.132
35,3,0.98,2407.503,0.132
35,4,0.977,2447.514,0.131
35,5,0.975,2467.607,0.13
35,6,0.968,2507.931,0.129
36,0,0.964,2528.145,0.129
36,1,0.96,2548.381,0.129
36,2,0.949,2588.876,0.128
36,3,0.943,2609.115,0.127
36,4,0.93,2649.52,0.126
36,5,0.922,2669.657,0.126
36,6,0.906,2709.721,0.125
37,0,0.897,2729.612,0.124
37,1,0.887,2749.383,0.123
37,2,0.867,2788.491,0.122
37,3,0.857,2807.79,0.122
37,4,0.836,2845.809,0.121
37,5,0.825,2864.505,0.12
37,6,0.803,2901.218,0.119
38,0,0.792,2919.219,0.118
38,1,0.78,2936.973,0.118
38,2,0.758,2971.713,0.117
38,3,0.747,2988.69,0.116
38,4,0.726,3021.826,0.115
38,5,0.716,3037.982,0.115
38,6,0.695,3069.47,0.114
39,0,0.686,3084.809,0.113
39,1,0.676,3099.885,0.113
39,2,0.658,3129.283,0.112
39,3,0.649,3143.631,0.111
39,4,0.633,3171.69,0.11
39,5,0.625,3185.427,0.11
39,6,0.609,3212.352,0.109
40,0,0.602,3225.556,0.109
40,1,0.595,3238.597,0.108
40,2,0.581,3264.219,0.107
40,3,0.574,3276.822,0.107
40,4,0.561,3301.68,0.106
40,5,0.555,3313.961,0.106
40,6,0.543,3338.291,0.105
41,0,0.537,3350.361,0.105
41,1,0.531,3362.379,0.104
41,2,0.519,3386.29,0.104
41,3,0.514,3398.198,0.103
41,4,0.502,3421.954,0.102
41,5,0.496,3433.811,0.102
41,6,0.485,3457.502,0.101
