gender_male,nulliparous,gestational_age_week,gestational_age_day,weight_L,weight_M,weight_S
1,1,22,0,1.594,446.995,0.122
1,1,22,1,1.591,457.208,0.122
1,1,22,2,1.585,477.633,0.122
1,1,22,3,1.582,487.847,0.122
1,1,22,4,1.575,508.279,0.123
1,1,22,5,1.572,518.499,0.123
1,1,22,6,1.566,538.951,0.123
1,1,23,0,1.563,549.186,0.123
1,1,23,1,1.559,559.427,0.123
1,1,23,2,1.553,579.937,0.123
1,1,23,3,1.55,590.211,0.123
1,1,23,4,1.544,610.811,0.123
1,1,23,5,1.54,621.144,0.123
1,1,23,6,1.534,641.89,0.123
1,1,24,0,1.531,652.311,0.124
1,1,24,1,1.528,662.77,0.124
1,1,24,2,1.521,683.813,0.124
1,1,24,3,1.518,694.405,0.124
1,1,24,4,1.512,715.744,0.124
1,1,24,5,1.509,726.499,0.124
1,1,24,6,1.502,748.195,0.124
1,1,25,0,1.499,759.141,0.124
1,1,25,1,1.496,770.156,0.124
1,1,25,2,1.489,792.401,0.125
1,1,25,3,1.486,803.634,0.125
1,1,25,4,1.479,826.328,0.125
1,1,25,5,1.476,837.793,0.125
1,1,25,6,1.469,860.962,0.125
1,1,26,0,1.466,872.669,0.125
1,1,26,1,1.462,884.461,0.125
1,1,26,2,1.456,908.303,0.125
1,1,26,3,1.452,920.354,0.125
1,1,26,4,1.446,944.725,0.126
1,1,26,5,1.442,957.047,0.126
1,1,26,6,1.436,981.965,0.126
1,1,27,0,1.432,994.562,0.126
1,1,27,1,1.429,1007.252,0.126
1,1,27,2,1.422,1032.908,0.126
1,1,27,3,1.419,1045.874,0.126
1,1,27,4,1.413,1072.086,0.126
1,1,27,5,1.41,1085.33,0.126
1,1,27,6,1.403,1112.095,0.127
1,1,28,0,1.4,1125.617,0.127
1,1,28,1,1.397,1139.232,0.127
1,1,28,2,1.391,1166.743,0.127
1,1,28,3,1.388,1180.639,0.127
1,1,28,4,1.383,1208.717,0.127
1,1,28,5,1.38,1222.897,0.127
1,1,28,6,1.374,1251.54,0.127
1,1,29,0,1.372,1266.002,0.127
1,1,29,1,1.369,1280.557,0.127
1,1,29,2,1.364,1309.946,0.128
1,1,29,3,1.361,1324.778,0.128
1,1,29,4,1.357,1354.717,0.128
1,1,29,5,1.354,1369.822,0.128
1,1,29,6,1.35,1400.305,0.128
1,1,30,0,1.348,1415.682,0.128
1,1,30,1,1.346,1431.147,0.128
1,1,30,2,1.341,1462.344,0.128
1,1,30,3,1.339,1478.075,0.128
1,1,30,4,1.336,1509.797,0.129
1,1,30,5,1.334,1525.789,0.129
1,1,30,6,1.33,1558.035,0.129
1,1,31,0,1.329,1574.289,0.129
1,1,31,1,1.327,1590.629,0.129
1,1,31,2,1.324,1623.566,0.129
1,1,31,3,1.322,1640.159,0.129
1,1,31,4,1.319,1673.589,0.129
1,1,31,5,1.318,1690.422,0.129
1,1,31,6,1.315,1724.316,0.129
1,1,32,0,1.314,1741.375,0.129
1,1,32,1,1.312,1758.505,0.129
1,1,32,2,1.31,1792.972,0.129
1,1,32,3,1.308,1810.304,0.129
1,1,32,4,1.306,1845.15,0.129
1,1,32,5,1.305,1862.659,0.129
1,1,32,6,1.302,1897.833,0.129
1,1,33,0,1.301,1915.489,0.129
1,1,33,1,1.3,1933.185,0.129
1,1,33,2,1.298,1968.684,0.129
1,1,33,3,1.296,1986.48,0.129
1,1,33,4,1.294,2022.156,0.129
1,1,33,5,1.292,2040.031,0.129
1,1,33,6,1.289,2075.847,0.128
1,1,34,0,1.288,2093.785,0.128
1,1,34,1,1.286,2111.741,0.128
