gestational_age_week,gestational_age_day,height_L,height_M,height_S,head_L,head_M,head_S
22,0,1.874,27.203,0.06,2.1,19.468,0.055
22,1,1.91,27.345,0.06,2.103,19.565,0.056
22,2,1.981,27.63,0.06,2.11,19.757,0.056
22,3,2.016,27.772,0.06,2.113,19.854,0.056
22,4,2.089,28.056,0.06,2.12,20.046,0.056
22,5,2.125,28.198,0.06,2.124,20.142,0.056
22,6,2.199,28.484,0.06,2.131,20.334,0.057
23,0,2.237,28.627,0.06,2.135,20.43,0.057
23,1,2.274,28.77,0.06,2.138,20.526,0.057
23,2,2.348,29.059,0.06,2.146,20.717,0.057
23,3,2.385,29.204,0.06,2.15,20.812,0.057
23,4,2.457,29.496,0.06,2.158,21.002,0.058
23,5,2.494,29.643,0.06,2.162,21.097,0.058
23,6,2.565,29.938,0.059,2.17,21.286,0.058
24,0,2.6,30.087,0.059,2.174,21.381,0.058
24,1,2.635,30.237,0.059,2.178,21.475,0.058
24,2,2.702,30.538,0.059,2.187,21.665,0.059
24,3,2.734,30.69,0.059,2.191,21.759,0.059
24,4,2.797,30.995,0.059,2.2,21.95,0.059
24,5,2.826,31.148,0.059,2.205,22.046,0.059
24,6,2.88,31.456,0.059,2.213,22.238,0.06
25,0,2.903,31.611,0.059,2.218,22.335,0.06
25,1,2.925,31.766,0.059,2.222,22.432,0.06
25,2,2.961,32.078,0.058,2.23,22.628,0.06
25,3,2.976,32.235,0.058,2.235,22.727,0.06
25,4,3.001,32.551,0.058,2.243,22.925,0.061
25,5,3.012,32.709,0.058,2.247,23.025,0.061
25,6,3.028,33.025,0.057,2.254,23.225,0.061
26,0,3.034,33.184,0.057,2.258,23.326,0.061
26,1,3.039,33.343,0.057,2.262,23.427,0.062
26,2,3.046,33.66,0.057,2.268,23.629,0.062
26,3,3.048,33.818,0.056,2.271,23.73,0.062
26,4,3.049,34.133,0.056,2.277,23.933,0.062
26,5,3.048,34.291,0.056,2.28,24.035,0.062
26,6,3.043,34.604,0.055,2.286,24.239,0.063
27,0,3.038,34.759,0.055,2.288,24.341,0.063
27,1,3.032,34.914,0.055,2.291,24.444,0.063
27,2,3.016,35.222,0.054,2.295,24.649,0.063
27,3,3.005,35.376,0.054,2.297,24.752,0.063
27,4,2.981,35.68,0.053,2.301,24.959,0.063
27,5,2.967,35.831,0.053,2.303,25.062,0.063
27,6,2.936,36.132,0.053,2.307,25.268,0.064
28,0,2.919,36.282,0.053,2.308,25.372,0.064
28,1,2.9,36.431,0.053,2.31,25.475,0.064
28,2,2.86,36.728,0.052,2.312,25.68,0.064
28,3,2.838,36.876,0.052,2.314,25.782,0.064
28,4,2.789,37.172,0.052,2.316,25.985,0.064
28,5,2.763,37.319,0.052,2.318,26.086,0.064
28,6,2.704,37.614,0.052,2.321,26.286,0.064
29,0,2.673,37.761,0.051,2.322,26.386,0.064
29,1,2.64,37.908,0.051,2.324,26.484,0.064
29,2,2.572,38.202,0.051,2.327,26.68,0.064
29,3,2.536,38.348,0.051,2.328,26.777,0.064
29,4,2.465,38.64,0.051,2.331,26.969,0.064
29,5,2.43,38.785,0.051,2.332,27.064,0.064
29,6,2.36,39.075,0.051,2.334,27.253,0.063
30,0,2.326,39.218,0.051,2.335,27.347,0.063
30,1,2.294,39.361,0.051,2.335,27.44,0.063
30,2,2.232,39.645,0.052,2.336,27.626,0.063
30,3,2.204,39.786,0.052,2.336,27.718,0.063
30,4,2.152,40.063,0.052,2.335,27.901,0.063
30,5,2.129,40.2,0.052,2.334,27.993,0.062
30,6,2.09,40.47,0.052,2.332,28.175,0.062
31,0,2.074,40.602,0.052,2.331,28.265,0.062
31,1,2.061,40.733,0.052,2.329,28.356,0.062
31,2,2.043,40.991,0.052,2.326,28.536,0.061
31,3,2.039,41.117,0.052,2.324,28.626,0.061
31,4,2.039,41.365,0.053,2.319,28.804,0.061
31,5,2.045,41.487,0.053,2.317,28.892,0.06
31,6,2.067,41.726,0.053,2.312,29.068,0.06
32,0,2.084,41.843,0.053,2.309,29.155,0.06
32,1,2.103,41.96,0.053,2.306,29.242,0.059
32,2,2.149,42.189,0.053,2.299,29.414,0.059
32,3,2.176,42.302,0.053,2.295,29.5,0.059
32,4,2.234,42.527,0.053,2.287,29.669,0.058
32,5,2.265,42.638,0.053,2.283,29.753,0.058
32,6,2.331,42.859,0.053,2.273,29.918,0.057
33,0,2.366,42.969,0.053,2.268,30,0.057
33,1,2.402,43.079,0.053,2.263,30.081,0.057
33,2,2.476,43.298,0.052,2.252,30.24,0.056
33,3,2.513,43.407,0.052,2.245,30.319,0.056
33,4,2.59,43.624,0.052,2.232,30.474,0.055
33,5,2.628,43.733,0.052,2.225,30.55,0.055
33,6,2.706,43.95,0.052,2.209,30.699,0.054
34,0,2.745,44.059,0.052,2.201,30.773,0.054
34,1,2.785,44.167,0.052,2.193,30.845,0.053
34,2,2.865,44.383,0.051,2.175,30.988,0.052
34,3,2.906,44.491,0.051,2.165,31.058,0.052
34,4,2.987,44.705,0.051,2.145,31.196,0.051
34,5,3.028,44.813,0.051,2.134,31.264,0.051
34,6,3.108,45.027,0.051,2.111,31.397,0.05
35,0,3.147,45.134,0.05,2.1,31.463,0.05
35,1,3.186,45.241,0.05,2.087,31.528,0.05
35,2,3.259,45.456,0.05,2.062,31.657,0.049
35,3,3.293,45.563,0.05,2.048,31.72,0.049
35,4,3.355,45.778,0.049,2.02,31.844,0.048
35,5,3.382,45.885,0.049,2.006,31.906,0.047
35,6,3.427,46.101,0.048,1.976,32.027,0.047
36,0,3.445,46.209,0.048,1.96,32.086,0.046
36,1,3.459,46.316,0.048,1.944,32.144,0.046
36,2,3.476,46.53,0.047,1.912,32.259,0.045
36,3,3.48,46.637,0.047,1.895,32.316,0.045
36,4,3.474,46.846,0.046,1.861,32.425,0.044
36,5,3.465,46.949,0.045,1.844,32.478,0.044
36,6,3.436,47.151,0.045,1.81,32.581,0.043
37,0,3.415,47.249,0.044,1.794,32.63,0.043
37,1,3.391,47.345,0.044,1.777,32.677,0.043
37,2,3.333,47.53,0.043,1.745,32.766,0.042
37,3,3.3,47.618,0.043,1.729,32.808,0.042
37,4,3.226,47.788,0.042,1.7,32.885,0.042
37,5,3.186,47.869,0.042,1.686,32.92,0.041
37,6,3.1,48.026,0.041,1.661,32.983,0.041
38,0,3.055,48.101,0.041,1.649,33.011,0.041
38,1,3.009,48.176,0.04,1.638,33.037,0.041
38,2,2.913,48.322,0.04,1.619,33.083,0.041
38,3,2.863,48.393,0.039,1.611,33.103,0.04
38,4,2.761,48.534,0.039,1.595,33.14,0.04
38,5,2.709,48.603,0.039,1.587,33.157,0.04
38,6,2.604,48.739,0.038,1.573,33.189,0.04
39,0,2.551,48.805,0.038,1.566,33.206,0.04
39,1,2.497,48.871,0.038,1.559,33.222,0.04
