administrative_division_code,municipality_or_ward_name,secondary_medical_area_code,secondary_medical_area_name,defined_in_plan_flag
01101,中央区,0104,札幌,1
01102,北区,0104,札幌,1
01103,東区,0104,札幌,1
01104,白石区,0104,札幌,1
01105,豊平区,0104,札幌,1
01106,南区,0104,札幌,1
01107,西区,0104,札幌,1
01108,厚別区,0104,札幌,1
01109,手稲区,0104,札幌,1
01110,清田区,0104,札幌,1
01202,函館市,0101,南渡島,1
01203,小樽市,0105,後志,1
01204,旭川市,0112,上川中部,1
01205,室蘭市,0109,西胆振,1
01206,釧路市,0120,釧路,1
01207,帯広市,0119,十勝,1
01208,北見市,0117,北網,1
01209,夕張市,0106,南空知,1
01210,岩見沢市,0106,南空知,1
01211,網走市,0117,北網,1
01212,留萌市,0115,留萌,1
01213,苫小牧市,0110,東胆振,1
01214,稚内市,0116,宗谷,1
01215,美唄市,0106,南空知,1
01216,芦別市,0107,中空知,1
01217,江別市,0104,札幌,1
01218,赤平市,0107,中空知,1
01219,紋別市,0118,遠紋,1
01220,士別市,0113,上川北部,1
01221,名寄市,0113,上川北部,1
01222,三笠市,0106,南空知,1
01223,根室市,0121,根室,1
01224,千歳市,0104,札幌,1
01225,滝川市,0107,中空知,1
01226,砂川市,0107,中空知,1
01227,歌志内市,0107,中空知,1
01228,深川市,0108,北空知,1
01229,富良野市,0114,富良野,1
01230,登別市,0109,西胆振,1
01231,恵庭市,0104,札幌,1
01233,伊達市,0109,西胆振,1
01234,北広島市,0104,札幌,1
01235,石狩市,0104,札幌,1
01236,北斗市,0101,南渡島,1
01303,当別町,0104,札幌,1
01304,新篠津村,0104,札幌,1
01331,松前町,0101,南渡島,1
01332,福島町,0101,南渡島,1
01333,知内町,0101,南渡島,1
01334,木古内町,0101,南渡島,1
01337,七飯町,0101,南渡島,1
01343,鹿部町,0101,南渡島,1
01345,森町,0101,南渡島,1
01346,八雲町,0103,北渡島檜山,1
01347,長万部町,0103,北渡島檜山,1
01361,江差町,0102,南檜山,1
01362,上ノ国町,0102,南檜山,1
01363,厚沢部町,0102,南檜山,1
01364,乙部町,0102,南檜山,1
01367,奥尻町,0102,南檜山,1
01370,今金町,0103,北渡島檜山,1
01371,せたな町,0103,北渡島檜山,1
01391,島牧村,0105,後志,1
01392,寿都町,0105,後志,1
01393,黒松内町,0105,後志,1
01394,蘭越町,0105,後志,1
01395,ニセコ町,0105,後志,1
01396,真狩村,0105,後志,1
01397,留寿都村,0105,後志,1
01398,喜茂別町,0105,後志,1
01399,京極町,0105,後志,1
01400,倶知安町,0105,後志,1
01401,共和町,0105,後志,1
01402,岩内町,0105,後志,1
01403,泊村,0105,後志,1
01404,神恵内村,0105,後志,1
01405,積丹町,0105,後志,1
01406,古平町,0105,後志,1
01407,仁木町,0105,後志,1
01408,余市町,0105,後志,1
01409,赤井川村,0105,後志,1
01423,南幌町,0106,南空知,1
01424,奈井江町,0107,中空知,1
01425,上砂川町,0107,中空知,1
01427,由仁町,0106,南空知,1
01428,長沼町,0106,南空知,1
01429,栗山町,0106,南空知,1
01430,月形町,0106,南空知,1
01431,浦臼町,0107,中空知,1
01432,新十津川町,0107,中空知,1
01433,妹背牛町,0108,北空知,1
01434,秩父別町,0108,北空知,1
01436,雨竜町,0107,中空知,1
01437,北竜町,0108,北空知,1
01438,沼田町,0108,北空知,1
01452,鷹栖町,0112,上川中部,1
01453,東神楽町,0112,上川中部,1
01454,当麻町,0112,上川中部,1
01455,比布町,0112,上川中部,1
01456,愛別町,0112,上川中部,1
01457,上川町,0112,上川中部,1
01458,東川町,0112,上川中部,1
01459,美瑛町,0112,上川中部,1
01460,上富良野町,0114,富良野,1
01461,中富良野町,0114,富良野,1
01462,南富良野町,0114,富良野,1
01463,占冠村,0114,富良野,1
01464,和寒町,0113,上川北部,1
01465,剣淵町,0113,上川北部,1
01468,下川町,0113,上川北部,1
01469,美深町,0113,上川北部,1
01470,音威子府村,0113,上川北部,1
01471,中川町,0113,上川北部,1
01472,幌加内町,0112,上川中部,1
01481,増毛町,0115,留萌,1
01482,小平町,0115,留萌,1
01483,苫前町,0115,留萌,1
01484,羽幌町,0115,留萌,1
01485,初山別村,0115,留萌,1
01486,遠別町,0115,留萌,1
01487,天塩町,0115,留萌,1
01511,猿払村,0116,宗谷,1
01512,浜頓別町,0116,宗谷,1
01513,中頓別町,0116,宗谷,1
01514,枝幸町,0116,宗谷,1
01516,豊富町,0116,宗谷,1
01517,礼文町,0116,宗谷,1
01518,利尻町,0116,宗谷,1
01519,利尻富士町,0116,宗谷,1
01520,幌延町,0116,宗谷,1
01543,美幌町,0117,北網,1
01544,津別町,0117,北網,1
01545,斜里町,0117,北網,1
01546,清里町,0117,北網,1
01547,小清水町,0117,北網,1
01549,訓子府町,0117,北網,1
01550,置戸町,0117,北網,1
01552,佐呂間町,0118,遠紋,1
01555,遠軽町,0118,遠紋,1
01559,湧別町,0118,遠紋,1
01560,滝上町,0118,遠紋,1
01561,興部町,0118,遠紋,1
01562,西興部村,0118,遠紋,1
01563,雄武町,0118,遠紋,1
01564,大空町,0117,北網,1
01571,豊浦町,0109,西胆振,1
01575,壮瞥町,0109,西胆振,1
01578,白老町,0110,東胆振,1
01581,厚真町,0110,東胆振,1
01584,洞爺湖町,0109,西胆振,1
01585,安平町,0110,東胆振,1
01586,むかわ町,0110,東胆振,1
01601,日高町,0111,日高,1
01602,平取町,0111,日高,1
01604,新冠町,0111,日高,1
01607,浦河町,0111,日高,1
01608,様似町,0111,日高,1
01609,えりも町,0111,日高,1
01610,新ひだか町,0111,日高,1
01631,音更町,0119,十勝,1
01632,士幌町,0119,十勝,1
01633,上士幌町,0119,十勝,1
01634,鹿追町,0119,十勝,1
01635,新得町,0119,十勝,1
01636,清水町,0119,十勝,1
01637,芽室町,0119,十勝,1
01638,中札内村,0119,十勝,1
01639,更別村,0119,十勝,1
01641,大樹町,0119,十勝,1
01642,広尾町,0119,十勝,1
01643,幕別町,0119,十勝,1
01644,池田町,0119,十勝,1
01645,豊頃町,0119,十勝,1
01646,本別町,0119,十勝,1
01647,足寄町,0119,十勝,1
01648,陸別町,0119,十勝,1
01649,浦幌町,0119,十勝,1
01661,釧路町,0120,釧路,1
01662,厚岸町,0120,釧路,1
01663,浜中町,0120,釧路,1
01664,標茶町,0120,釧路,1
01665,弟子屈町,0120,釧路,1
01667,鶴居村,0120,釧路,1
01668,白糠町,0120,釧路,1
01691,別海町,0121,根室,1
01692,中標津町,0121,根室,1
01693,標津町,0121,根室,1
01694,羅臼町,0121,根室,1
02201,青森市,0203,青森地域,1
02202,弘前市,0201,津軽地域,1
02203,八戸市,0202,八戸地域,1
02204,黒石市,0201,津軽地域,1
02205,五所川原市,0204,西北五地域,1
02206,十和田市,0205,上十三地域,1
02207,三沢市,0205,上十三地域,1
02208,むつ市,0206,下北地域,1
02209,つがる市,0204,西北五地域,1
02210,平川市,0201,津軽地域,1
02301,平内町,0203,青森地域,1
02303,今別町,0203,青森地域,1
02304,蓬田村,0203,青森地域,1
02307,外ヶ浜町,0203,青森地域,1
02321,鰺ヶ沢町,0204,西北五地域,1
02323,深浦町,0204,西北五地域,1
02343,西目屋村,0201,津軽地域,1
02361,藤崎町,0201,津軽地域,1
02362,大鰐町,0201,津軽地域,1
02367,田舎館村,0201,津軽地域,1
02381,板柳町,0201,津軽地域,1
02384,鶴田町,0204,西北五地域,1
02387,中泊町,0204,西北五地域,1
02401,野辺地町,0205,上十三地域,1
02402,七戸町,0205,上十三地域,1
02405,六戸町,0205,上十三地域,1
02406,横浜町,0205,上十三地域,1
02408,東北町,0205,上十三地域,1
02411,六ヶ所村,0205,上十三地域,1
02412,おいらせ町,0202,八戸地域,1
02423,大間町,0206,下北地域,1
02424,東通村,0206,下北地域,1
02425,風間浦村,0206,下北地域,1
02426,佐井村,0206,下北地域,1
02441,三戸町,0202,八戸地域,1
02442,五戸町,0202,八戸地域,1
02443,田子町,0202,八戸地域,1
02445,南部町,0202,八戸地域,1
02446,階上町,0202,八戸地域,1
02450,新郷村,0202,八戸地域,1
03201,盛岡市,0301,盛岡,2
03202,宮古市,0307,宮古,2
03203,大船渡市,0305,気仙,2
03205,花巻市,0302,岩手中部,2
03206,北上市,0302,岩手中部,2
03207,久慈市,0308,久慈,2
03208,遠野市,0302,岩手中部,2
03209,一関市,0304,両磐,2
03210,陸前高田市,0305,気仙,2
03211,釜石市,0306,釜石,2
03213,二戸市,0309,二戸,2
03214,八幡平市,0301,盛岡,2
03215,奥州市,0303,胆江,2
03216,滝沢市,0301,盛岡,2
03301,雫石町,0301,盛岡,2
03302,葛巻町,0301,盛岡,2
03303,岩手町,0301,盛岡,2
03321,紫波町,0301,盛岡,2
03322,矢巾町,0301,盛岡,2
03366,西和賀町,0302,岩手中部,2
03381,金ケ崎町,0303,胆江,2
03402,平泉町,0304,両磐,2
03441,住田町,0305,気仙,2
03461,大槌町,0306,釜石,2
03482,山田町,0307,宮古,2
03483,岩泉町,0307,宮古,2
03484,田野畑村,0307,宮古,2
03485,普代村,0308,久慈,2
03501,軽米町,0309,二戸,2
03503,野田村,0308,久慈,2
03506,九戸村,0309,二戸,2
03507,洋野町,0308,久慈,2
03524,一戸町,0309,二戸,2
04101,青葉区,0403,仙台,1
04102,宮城野区,0403,仙台,1
04103,若林区,0403,仙台,1
04104,太白区,0403,仙台,1
04105,泉区,0403,仙台,1
04202,石巻市,0409,石巻・登米・気仙沼,1
04203,塩竈市,0403,仙台,1
04205,気仙沼市,0409,石巻・登米・気仙沼,1
04206,白石市,0401,仙南,1
04207,名取市,0403,仙台,1
04208,角田市,0401,仙南,1
04209,多賀城市,0403,仙台,1
04211,岩沼市,0403,仙台,1
04212,登米市,0409,石巻・登米・気仙沼,1
04213,栗原市,0406,大崎・栗原,1
04214,東松島市,0409,石巻・登米・気仙沼,1
04215,大崎市,0406,大崎・栗原,1
04216,富谷市,0403,仙台,1
04301,蔵王町,0401,仙南,1
04302,七ヶ宿町,0401,仙南,1
04321,大河原町,0401,仙南,1
04322,村田町,0401,仙南,1
04323,柴田町,0401,仙南,1
04324,川崎町,0401,仙南,1
04341,丸森町,0401,仙南,1
04361,亘理町,0403,仙台,1
04362,山元町,0403,仙台,1
04401,松島町,0403,仙台,1
04404,七ヶ浜町,0403,仙台,1
04406,利府町,0403,仙台,1
04421,大和町,0403,仙台,1
04422,大郷町,0403,仙台,1
04424,大衡村,0403,仙台,1
