administrative_division_codes,municipality_or_ward_names,secondary_medical_area_code,secondary_medical_area_name,area_m2_plan,area_m2_gsi,population_plan,population_total,population_under15,population_15to64,population_65plus
"01202,01236,01331,01332,01333,01334,01337,01343,01345","函館市,北斗市,松前町,福島町,知内町,木古内町,七飯町,鹿部町,森町",0101,南渡島,2670.63,2670.6,381620,367773,36666,202079,129028
"01361,01362,01363,01364,01367","江差町,上ノ国町,厚沢部町,乙部町,奥尻町",0102,南檜山,1423.38,1423.35,23769,22095,1884,11160,9051
"01346,01347,01370,01371","八雲町,長万部町,今金町,せたな町",0103,北渡島檜山,2473.77,2473.77,37279,34451,3221,17839,13391
"01101,01102,01103,01104,01105,01106,01107,01108,01109,01110,01217,01224,01231,01234,01235,01303,01304","中央区,北区,東区,白石区,豊平区,南区,西区,厚別区,手稲区,清田区,江別市,千歳市,恵庭市,北広島市,石狩市,当別町,新篠津村",0104,札幌,3540.15,3540.16,2375449,2381913,269834,1456555,655524
"01203,01391,01392,01393,01394,01395,01396,01397,01398,01399,01400,01401,01402,01403,01404,01405,01406,01407,01408,01409","小樽市,島牧村,寿都町,黒松内町,蘭越町,ニセコ町,真狩村,留寿都村,喜茂別町,京極町,倶知安町,共和町,岩内町,泊村,神恵内村,積丹町,古平町,仁木町,余市町,赤井川村",0105,後志,4305.88,4305.86,215522,206382,19035,109498,77849
"01209,01210,01215,01222,01423,01427,01428,01429,01430","夕張市,岩見沢市,美唄市,三笠市,南幌町,由仁町,長沼町,栗山町,月形町",0106,南空知,2562.25,2562.25,166691,155396,14344,81225,59827
"01216,01218,01225,01226,01227,01424,01425,01431,01432,01436","芦別市,赤平市,滝川市,砂川市,歌志内市,奈井江町,上砂川町,浦臼町,新十津川町,雨竜町",0107,中空知,2162.07,2162.07,108970,101653,9077,51973,40603
"01228,01433,01434,01437,01438","深川市,妹背牛町,秩父別町,北竜町,沼田町",0108,北空知,1067.29,1067.29,32675,30481,2549,15064,12868
"01205,01230,01233,01571,01575,01584","室蘭市,登別市,伊達市,豊浦町,壮瞥町,洞爺湖町",0109,西胆振,1356.7,1356.88,189696,179610,17912,94879,66819
"01213,01578,01581,01585,01586","苫小牧市,白老町,厚真町,安平町,むかわ町",0110,東胆振,2340.34,2340.34,212059,207968,24524,118979,64465
"01601,01602,01604,01607,01608,01609,01610","日高町,平取町,新冠町,浦河町,様似町,えりも町,新ひだか町",0111,日高,4811.13,4811.15,69015,65514,7258,35841,22415
"01204,01452,01453,01454,01455,01456,01457,01458,01459,01472","旭川市,鷹栖町,東神楽町,当麻町,比布町,愛別町,上川町,東川町,美瑛町,幌加内町",0112,上川中部,4238.1,4238.1,394270,387076,42079,213938,131059
"01220,01221,01464,01465,01468,01469,01470,01471","士別市,名寄市,和寒町,剣淵町,下川町,美深町,音威子府村,中川町",0113,上川北部,4197.18,4197.18,66591,61835,6340,32705,22790
"01229,01460,01461,01462,01463","富良野市,上富良野町,中富良野町,南富良野町,占冠村",0114,富良野,2183.41,2183.41,42597,41188,4549,23288,13351
"01212,01481,01482,01483,01484,01485,01486,01487","留萌市,増毛町,小平町,苫前町,羽幌町,初山別村,遠別町,天塩町",0115,留萌,3445.88,3445.9,47912,44547,4238,22827,17482
