prefecture_name,subprefecture_name,district_name,municipality_name,ward_name,municipality_code
北海道,石狩振興局,NA,札幌市,中央区,01101
北海道,石狩振興局,NA,札幌市,北区,01102
北海道,石狩振興局,NA,札幌市,東区,01103
北海道,石狩振興局,NA,札幌市,白石区,01104
北海道,石狩振興局,NA,札幌市,豊平区,01105
北海道,石狩振興局,NA,札幌市,南区,01106
北海道,石狩振興局,NA,札幌市,西区,01107
北海道,石狩振興局,NA,札幌市,厚別区,01108
北海道,石狩振興局,NA,札幌市,手稲区,01109
北海道,石狩振興局,NA,札幌市,清田区,01110
北海道,渡島総合振興局,NA,函館市,NA,01202
北海道,後志総合振興局,NA,小樽市,NA,01203
北海道,上川総合振興局,NA,旭川市,NA,01204
北海道,胆振総合振興局,NA,室蘭市,NA,01205
北海道,釧路総合振興局,NA,釧路市,NA,01206
北海道,十勝総合振興局,NA,帯広市,NA,01207
北海道,オホーツク総合振興局,NA,北見市,NA,01208
北海道,空知総合振興局,NA,夕張市,NA,01209
北海道,空知総合振興局,NA,岩見沢市,NA,01210
北海道,オホーツク総合振興局,NA,網走市,NA,01211
北海道,留萌振興局,NA,留萌市,NA,01212
北海道,胆振総合振興局,NA,苫小牧市,NA,01213
北海道,宗谷総合振興局,NA,稚内市,NA,01214
北海道,空知総合振興局,NA,美唄市,NA,01215
北海道,空知総合振興局,NA,芦別市,NA,01216
北海道,石狩振興局,NA,江別市,NA,01217
北海道,空知総合振興局,NA,赤平市,NA,01218
北海道,オホーツク総合振興局,NA,紋別市,NA,01219
北海道,上川総合振興局,NA,士別市,NA,01220
北海道,上川総合振興局,NA,名寄市,NA,01221
北海道,空知総合振興局,NA,三笠市,NA,01222
北海道,根室振興局,NA,根室市,NA,01223
北海道,石狩振興局,NA,千歳市,NA,01224
北海道,空知総合振興局,NA,滝川市,NA,01225
北海道,空知総合振興局,NA,砂川市,NA,01226
北海道,空知総合振興局,NA,歌志内市,NA,01227
北海道,空知総合振興局,NA,深川市,NA,01228
北海道,上川総合振興局,NA,富良野市,NA,01229
北海道,胆振総合振興局,NA,登別市,NA,01230
北海道,石狩振興局,NA,恵庭市,NA,01231
北海道,胆振総合振興局,NA,伊達市,NA,01233
北海道,石狩振興局,NA,北広島市,NA,01234
北海道,石狩振興局,NA,石狩市,NA,01235
北海道,渡島総合振興局,NA,北斗市,NA,01236
北海道,石狩振興局,石狩郡,当別町,NA,01303
北海道,石狩振興局,石狩郡,新篠津村,NA,01304
北海道,渡島総合振興局,松前郡,松前町,NA,01331
北海道,渡島総合振興局,松前郡,福島町,NA,01332
北海道,渡島総合振興局,上磯郡,知内町,NA,01333
北海道,渡島総合振興局,上磯郡,木古内町,NA,01334
北海道,渡島総合振興局,亀田郡,七飯町,NA,01337
北海道,渡島総合振興局,茅部郡,鹿部町,NA,01343
北海道,渡島総合振興局,茅部郡,森町,NA,01345
北海道,渡島総合振興局,二海郡,八雲町,NA,01346
北海道,渡島総合振興局,山越郡,長万部町,NA,01347
北海道,檜山振興局,檜山郡,江差町,NA,01361
北海道,檜山振興局,檜山郡,上ノ国町,NA,01362
北海道,檜山振興局,檜山郡,厚沢部町,NA,01363
北海道,檜山振興局,爾志郡,乙部町,NA,01364
北海道,檜山振興局,奥尻郡,奥尻町,NA,01367
北海道,檜山振興局,瀬棚郡,今金町,NA,01370
北海道,檜山振興局,久遠郡,せたな町,NA,01371
北海道,後志総合振興局,島牧郡,島牧村,NA,01391
北海道,後志総合振興局,寿都郡,寿都町,NA,01392
北海道,後志総合振興局,寿都郡,黒松内町,NA,01393
北海道,後志総合振興局,磯谷郡,蘭越町,NA,01394
北海道,後志総合振興局,虻田郡,ニセコ町,NA,01395
北海道,後志総合振興局,虻田郡,真狩村,NA,01396
北海道,後志総合振興局,虻田郡,留寿都村,NA,01397
北海道,後志総合振興局,虻田郡,喜茂別町,NA,01398
北海道,後志総合振興局,虻田郡,京極町,NA,01399
北海道,後志総合振興局,虻田郡,倶知安町,NA,01400
