administrative_division_code,secondary_medical_area_code,secondary_medical_area_name
01101,0104,札幌
01102,0104,札幌
01103,0104,札幌
01104,0104,札幌
01105,0104,札幌
01106,0104,札幌
01107,0104,札幌
01108,0104,札幌
01109,0104,札幌
01110,0104,札幌
01202,0101,南渡島
01203,0105,後志
01204,0112,上川中部
01205,0109,西胆振
01206,0120,釧路
01207,0119,十勝
01208,0117,北網
01209,0106,南空知
01210,0106,南空知
01211,0117,北網
01212,0115,留萌
01213,0110,東胆振
01214,0116,宗谷
01215,0106,南空知
01216,0107,中空知
01217,0104,札幌
01218,0107,中空知
01219,0118,遠紋
01220,0113,上川北部
01221,0113,上川北部
01222,0106,南空知
01223,0121,根室
01224,0104,札幌
01225,0107,中空知
01226,0107,中空知
01227,0107,中空知
01228,0108,北空知
01229,0114,富良野
01230,0109,西胆振
01231,0104,札幌
01233,0109,西胆振
01234,0104,札幌
01235,0104,札幌
01236,0101,南渡島
01303,0104,札幌
01304,0104,札幌
01331,0101,南渡島
01332,0101,南渡島
01333,0101,南渡島
01334,0101,南渡島
01337,0101,南渡島
01343,0101,南渡島
01345,0101,南渡島
01346,0103,北渡島檜山
01347,0103,北渡島檜山
01361,0102,南檜山
01362,0102,南檜山
01363,0102,南檜山
01364,0102,南檜山
01367,0102,南檜山
01370,0103,北渡島檜山
01371,0103,北渡島檜山
01391,0105,後志
01392,0105,後志
01393,0105,後志
01394,0105,後志
01395,0105,後志
01396,0105,後志
01397,0105,後志
01398,0105,後志
01399,0105,後志
01400,0105,後志
01401,0105,後志
01402,0105,後志
01403,0105,後志
01404,0105,後志
01405,0105,後志
01406,0105,後志
01407,0105,後志
01408,0105,後志
01409,0105,後志
01423,0106,南空知
01424,0107,中空知
01425,0107,中空知
01427,0106,南空知
01428,0106,南空知
01429,0106,南空知
01430,0106,南空知
01431,0107,中空知
01432,0107,中空知
01433,0108,北空知
01434,0108,北空知
01436,0107,中空知
01437,0108,北空知
01438,0108,北空知
01452,0112,上川中部
01453,0112,上川中部
01454,0112,上川中部
01455,0112,上川中部
01456,0112,上川中部
01457,0112,上川中部
01458,0112,上川中部
01459,0112,上川中部
01460,0114,富良野
01461,0114,富良野
01462,0114,富良野
01463,0114,富良野
01464,0113,上川北部
01465,0113,上川北部
01468,0113,上川北部
01469,0113,上川北部
01470,0113,上川北部
01471,0113,上川北部
01472,0112,上川中部
01481,0115,留萌
01482,0115,留萌
01483,0115,留萌
01484,0115,留萌
01485,0115,留萌
01486,0115,留萌
01487,0115,留萌
01511,0116,宗谷
01512,0116,宗谷
01513,0116,宗谷
01514,0116,宗谷
01516,0116,宗谷
01517,0116,宗谷
01518,0116,宗谷
01519,0116,宗谷
01520,0116,宗谷
01543,0117,北網
01544,0117,北網
01545,0117,北網
01546,0117,北網
01547,0117,北網
01549,0117,北網
01550,0117,北網
01552,0118,遠紋
01555,0118,遠紋
01559,0118,遠紋
01560,0118,遠紋
01561,0118,遠紋
01562,0118,遠紋
01563,0118,遠紋
01564,0117,北網
01571,0109,西胆振
01575,0109,西胆振
01578,0110,東胆振
01581,0110,東胆振
01584,0109,西胆振
01585,0110,東胆振
01586,0110,東胆振
01601,0111,日高
01602,0111,日高
01604,0111,日高
01607,0111,日高
01608,0111,日高
01609,0111,日高
01610,0111,日高
01631,0119,十勝
01632,0119,十勝
01633,0119,十勝
01634,0119,十勝
01635,0119,十勝
01636,0119,十勝
01637,0119,十勝
01638,0119,十勝
01639,0119,十勝
01641,0119,十勝
01642,0119,十勝
01643,0119,十勝
01644,0119,十勝
01645,0119,十勝
01646,0119,十勝
01647,0119,十勝
01648,0119,十勝
01649,0119,十勝
01661,0120,釧路
01662,0120,釧路
01663,0120,釧路
01664,0120,釧路
01665,0120,釧路
01667,0120,釧路
01668,0120,釧路
01691,0121,根室
01692,0121,根室
01693,0121,根室
01694,0121,根室
02201,0203,青森地域
02202,0201,津軽地域
02203,0202,八戸地域
02204,0201,津軽地域
02205,0204,西北五地域
02206,0205,上十三地域
02207,0205,上十三地域
02208,0206,下北地域
02209,0204,西北五地域
02210,0201,津軽地域
02301,0203,青森地域
02303,0203,青森地域
02304,0203,青森地域
02307,0203,青森地域
02321,0204,西北五地域
02323,0204,西北五地域
02343,0201,津軽地域
02361,0201,津軽地域
02362,0201,津軽地域
02367,0201,津軽地域
02381,0201,津軽地域
02384,0204,西北五地域
02387,0204,西北五地域
02401,0205,上十三地域
02402,0205,上十三地域
02405,0205,上十三地域
02406,0205,上十三地域
02408,0205,上十三地域
02411,0205,上十三地域
02412,0202,八戸地域
02423,0206,下北地域
02424,0206,下北地域
02425,0206,下北地域
02426,0206,下北地域
02441,0202,八戸地域
02442,0202,八戸地域
02443,0202,八戸地域
02445,0202,八戸地域
02446,0202,八戸地域
02450,0202,八戸地域
03201,0301,盛岡
03202,0307,宮古
03203,0305,気仙
03205,0302,岩手中部
