administrative_division_code,WKT
01101,POINT (141.3021 43.03841)
01102,POINT (141.354 43.13474)
01103,POINT (141.4013 43.10874)
01104,POINT (141.4252 43.06032)
01105,POINT (141.389 42.99981)
01106,POINT (141.1816 42.94708)
01107,POINT (141.2431 43.06393)
01108,POINT (141.4738 43.04333)
01109,POINT (141.2245 43.1158)
01110,POINT (141.4314 42.96203)
01202,POINT (140.9258 41.83751)
01203,POINT (141.0263 43.1564)
01204,POINT (142.3701 43.75788)
01205,POINT (140.9884 42.36647)
01206,POINT (144.0663 43.15864)
01207,POINT (143.0304 42.75737)
01208,POINT (143.7144 43.85162)
01209,POINT (142.1105 43.0433)
01210,POINT (141.7975 43.18087)
01211,POINT (144.2107 43.9856)
01212,POINT (141.7556 43.88561)
01213,POINT (141.5795 42.6823)
01214,POINT (141.8281 45.33242)
01215,POINT (141.8818 43.33806)
01216,POINT (142.2016 43.42524)
01217,POINT (141.5439 43.10728)
01218,POINT (142.0628 43.56789)
01219,POINT (143.2926 44.20308)
01220,POINT (142.5409 44.1153)
01221,POINT (142.4593 44.33947)
01222,POINT (141.9927 43.23977)
01223,POINT (145.5809 43.31432)
01224,POINT (141.5092 42.80058)
01225,POINT (141.9499 43.60837)
01226,POINT (141.9327 43.50328)
01227,POINT (142.0388 43.49366)
01228,POINT (142.0992 43.79319)
01229,POINT (142.4735 43.28183)
01230,POINT (141.0758 42.46559)
01231,POINT (141.464 42.87127)
01233,POINT (141.0172 42.60956)
01234,POINT (141.5149 42.96154)
01235,POINT (141.4428 43.4654)
01236,POINT (140.5543 41.86407)
01303,POINT (141.5625 43.36336)
01304,POINT (141.6149 43.22435)
01331,POINT (140.0651 41.51505)
01332,POINT (140.2496 41.52555)
01333,POINT (140.342 41.60309)
01334,POINT (140.4154 41.72764)
01337,POINT (140.7003 41.94876)
01343,POINT (140.7825 42.0214)
01345,POINT (140.5623 42.07006)
01346,POINT (140.2006 42.18989)
01347,POINT (140.3118 42.5211)
01361,POINT (140.1773 41.88572)
01362,POINT (140.1733 41.71384)
01363,POINT (140.3431 41.92191)
01364,POINT (140.1832 42.02211)
01367,POINT (139.4732 42.15533)
01370,POINT (140.0936 42.44364)
01371,POINT (139.9018 42.38295)
01391,POINT (140.0706 42.65544)
01392,POINT (140.2995 42.79093)
01393,POINT (140.3638 42.66722)
01394,POINT (140.4912 42.80027)
01395,POINT (140.6742 42.77977)
01396,POINT (140.7982 42.75745)
01397,POINT (140.9 42.71827)
01398,POINT (141.0052 42.79827)
01399,POINT (140.9427 42.88769)
01400,POINT (140.7795 42.91366)
01401,POINT (140.6274 42.98831)
01402,POINT (140.4786 42.93755)
01403,POINT (140.5153 43.10079)
