postal_code,administrative_division_code
0010000,01102
0010010,01102
0010011,01102
0010012,01102
0010013,01102
0010014,01102
0010015,01102
0010016,01102
0010017,01102
0010018,01102
0010019,01102
0010020,01102
0010021,01102
0010022,01102
0010023,01102
0010024,01102
0010025,01102
0010026,01102
0010027,01102
0010028,01102
0010029,01102
0010030,01102
0010031,01102
0010032,01102
0010033,01102
0010034,01102
0010035,01102
0010036,01102
0010037,01102
0010038,01102
0010039,01102
0010040,01102
0010045,01102
0010901,01102
0010902,01102
0010903,01102
0010904,01102
0010905,01102
0010906,01102
0010907,01102
0010908,01102
0010909,01102
0010910,01102
0010911,01102
0010912,01102
0010915,01102
0010921,01102
0010922,01102
0010923,01102
0010924,01102
0010925,01102
0010926,01102
0010927,01102
0010928,01102
0010930,01102
0010931,01102
0010932,01102
0010933,01102
0010934,01102
0010935,01102
0018501,01102
0018511,01102
0018521,01102
0018555,01102
0018577,01102
0018588,01102
0018612,01102
0020851,01102
0020852,01102
0020853,01102
0020854,01102
0020855,01102
0020856,01102
0020857,01102
0020858,01102
0020859,01102
0020860,01102
0020861,01102
0020865,01102
0028001,01102
0028002,01102
0028003,01102
0028004,01102
0028005,01102
0028006,01102
0028007,01102
0028008,01102
0028009,01102
0028010,01102
0028011,01102
0028012,01102
0028021,01102
0028022,01102
0028023,01102
0028024,01102
0028025,01102
0028026,01102
0028027,01102
0028028,01102
0028029,01102
0028030,01102
0028031,01102
0028032,01102
0028033,01102
0028034,01102
0028035,01102
0028036,01102
0028037,01102
0028038,01102
0028041,01102
0028042,01102
0028043,01102
0028044,01102
0028045,01102
0028051,01102
0028052,01102
0028053,01102
0028054,01102
0028055,01102
0028061,01102
0028062,01102
0028063,01102
0028064,01102
0028065,01102
0028066,01102
0028067,01102
0028068,01102
0028071,01102
0028072,01102
0028073,01102
0028074,01102
0028075,01102
0028081,01102
0028082,01102
0028089,01303
0028091,01102
0028501,01102
0028502,01102
0028503,01102
0028504,01102
0030000,01104
0030001,01104
0030002,01104
0030003,01104
0030004,01104
0030005,01104
0030006,01104
0030011,01104
0030012,01104
0030013,01104
0030021,01104
0030022,01104
0030023,01104
0030024,01104
0030025,01104
0030026,01104
0030027,01104
0030028,01104
0030029,01104
0030030,01104
0030801,01104
0030802,01104
0030803,01104
0030804,01104
0030805,01104
0030806,01104
0030807,01104
0030808,01104
0030809,01104
0030811,01104
0030812,01104
0030813,01104
0030814,01104
0030821,01104
0030822,01104
0030823,01104
0030824,01104
0030825,01104
0030826,01104
0030827,01104
0030828,01104
0030829,01104
0030830,01104
0030831,01104
0030832,01104
0030833,01104
0030834,01104
0030835,01104
0030836,01104
0030837,01104
0030838,01104
0030839,01104
0030840,01104
0030849,01104
0030851,01104
0030852,01104
0030853,01104
0030854,01104
0030855,01104
0030859,01104
0030861,01104
0030862,01104
0030863,01104
0030864,01104
0030865,01104
0030869,01104
0030871,01104
0030872,01104
0030873,01104
0030874,01104
0030875,01104
0030876,01104
0038501,01104
0038502,01104
0038503,01104
0038504,01104
0038505,01104
0038510,01104
0038511,01104
0038515,01104
0038519,01104
0038520,01104
0038530,01104
0038531,01104
0038558,01104
0038566,01104
0038567,01104
0038577,01104
0038580,01104
0038581,01104
0038582,01104
0038585,01104
0038588,01104
0038601,01104
0038610,01104
0038612,01104
0038620,01104
0038630,01104
0038631,01104
0038639,01104
0038640,01104
0038668,01104
0038701,01104
0038702,01104
0040000,01108
0040000,01110
0040001,01108
0040002,01108
0040003,01108
0040004,01108
0040005,01108
0040006,01108
0040007,01108
0040011,01108
0040012,01108
0040013,01108
0040014,01108
0040015,01108
0040021,01108
0040022,01108
0040031,01108
0040032,01108
0040033,01108
0040039,01108
0040041,01108
0040042,01108
0040051,01108
0040052,01108
0040053,01108
0040054,01108
0040055,01108
0040061,01108
0040062,01108
0040063,01108
