postal_code_pre,postal_code_post
2280000,2520000
2280001,2520001
2280002,2520002
2280003,2520003
2280004,2520004
2280005,2520005
2280011,2520011
2280012,2520012
2280013,2520013
2280014,2520014
2280015,2520015
2280016,2520016
2280021,2520021
2280022,2520022
2280023,2520023
2280025,2520025
2280026,2520026
2280027,2520027
2280801,2520301
2280802,2520302
2280803,2520303
2280804,2520304
2280805,2520305
2280806,2520306
2280807,2520307
2280811,2520311
2280812,2520312
2280813,2520313
2280814,2520314
2280815,2520315
2280816,2520316
2280817,2520317
2280818,2520318
2280821,2520321
2280822,2520322
2280823,2520323
2280824,2520324
2280825,2520325
2280826,2520326
2280827,2520327
2280828,2520328
2280829,2520329
2290001,2520201
2290004,2520344
2290011,2520251
2290015,2520335
2290016,2520336
2290021,2520221
2290024,2520224
2290031,2520231
2290033,2520233
2290034,2520234
2290035,2520235
2290037,2520237
2290039,2520239
2290101,2520171
2290102,2520172
2290103,2520173
2290104,2520174
2290105,2520175
2290106,2520176
2290211,2520188
2291101,2520141
2291105,2520205
2291106,2520146
2291113,2520213
2291114,2520214
2291116,2520216
2291117,2520217
2291123,2520243
2291124,2520124
2291125,2520245
2291126,2520246
2291134,2520134
2291135,2520135
2291136,2520136
3211400,3211200
3360001,3300061
3360002,3300074
3360003,3300073
3360004,3300052
3360005,3300056
3360006,3300055
3360007,3300062
3360011,3300063
3360012,3300064
3360013,3300054
3360014,3300053
3360037,3380837
3360902,3300043
3360904,3300041
3360908,3300051
3360935,3360043
3994501,3960041
5240201,5202401
7091121,7101101
7800073,7810073
7800074,7810074
7800081,7810081
7800082,7810082
7800083,7810083
7800084,7810084
7800085,7810085
7800086,7810086
7800087,7810087
7800088,7810088
7800801,7810801
7800802,7810802
7800803,7810803
7800804,7810804
7800805,7810805
7800806,7810806
7800811,7810811
7800812,7810812
7800813,7810813
7800814,7810814
7800815,7810815
7800831,7810831
7800832,7810832
7808001,7818001
7808002,7818002
7808003,7818003
7808004,7818004
7808005,7818005
7808006,7818006
7808007,7818007
7808008,7818008
7808010,7818010
7808016,7818016
8160082,8120882
8696204,8696404
9291521,9291621
9291576,9250076
9820261,9893161
