prefcd,N03_001,region
01,北海道,Hokkaido
02,青森県,Tohoku
03,岩手県,Tohoku
04,宮城県,Tohoku
05,秋田県,Tohoku
06,山形県,Tohoku
07,福島県,Tohoku
08,茨城県,Kanto
09,栃木県,Kanto
10,群馬県,Kanto
11,埼玉県,Kanto
12,千葉県,Kanto
13,東京都,Kanto
14,神奈川県,Kanto
15,新潟県,Chubu
16,富山県,Chubu
17,石川県,Chubu
18,福井県,Chubu
19,山梨県,Chubu
20,長野県,Chubu
21,岐阜県,Chubu
22,静岡県,Chubu
23,愛知県,Chubu
24,三重県,Kansai
25,滋賀県,Kansai
26,京都府,Kansai
27,大阪府,Kansai
28,兵庫県,Kansai
29,奈良県,Kansai
30,和歌山県,Kansai
31,鳥取県,Chugoku
32,島根県,Chugoku
33,岡山県,Chugoku
34,広島県,Chugoku
35,山口県,Chugoku
36,徳島県,Shikoku
37,香川県,Shikoku
38,愛媛県,Shikoku
39,高知県,Shikoku
40,福岡県,Kyushu
41,佐賀県,Kyushu
42,長崎県,Kyushu
43,熊本県,Kyushu
44,大分県,Kyushu
45,宮崎県,Kyushu
46,鹿児島県,Kyushu
47,沖縄県,Kyushu
